,TradeRestrictions,,,,,,,,,
,,,,,,,,,,
CUSIP,,ISIN,Sedol,,Symbol,Restriction,Effective Date,Product Type,Prohibition Reason,Restriction Reason
98980B103,,US98980B1035,BMGH6N3,,ZIP,No Employee Buys,2021-06-21T06:30,E,Rating upgrade or initiation of coverage. ,null
63011P109,,US63011P1093,BYWFCN7,,NTAI,No Buys or Sells to Open,2021-06-21T04:15:18,O,Pink - Limited Information,null
63011P109,,US63011P1093,BYWFCN7,,NTAI,No Trading Permitted,2021-06-21T04:15:17,E,Pink - Limited Information,null
63011P109,,US63011P1093,BYWFCN7,,NTAI,No Buys or Sells to Open,2021-06-21T04:15:17,O,SRG Restriction,null
63011P109,,US63011P1093,BYWFCN7,,NTAI,No Trading Permitted,2021-06-21T04:15:16,E,SRG Restriction,null
73758F107,,CA73758F1071,null,,POTVF,No Buys or Sells to Open,2021-06-21T04:15:16,O,Cannabis Related,Marijuana Related Restriction TR- 
73758F107,,CA73758F1071,null,,POTVF,No Trading Permitted,2021-06-21T04:15:16,E,Cannabis Related,Marijuana Related Restriction TR- 
27889C300,,US27889C3007,2304119,,EMAX,No Buys or Sells to Open,2021-06-21T04:15:11,O,SRG Restriction,null
27889C300,,US27889C3007,2304119,,EMAX,No Trading Permitted,2021-06-21T04:15:11,E,SRG Restriction,null
871156105,,US8711561055,B4NP151,,SEGI,No Buys or Sells to Open,2021-06-18T22:11:02,O,Pink - Limited Information,null
45257M106,,US45257M1062,B1G2S35,,IMHC,No Buys or Sells to Open,2021-06-18T22:11:03,O,Caveat Emptor - Upgraded - SRG ,null
45257M106,,US45257M1062,B1G2S35,,IMHC,No Buys or Sells to Open,2021-06-18T22:11:02,O,Pink - Limited Information - Upgraded - ,null
G78497107,,GG00BJ0CDD21,null,,SHHFF,No Buys or Sells to Open,2021-06-18T22:11:02,O,Pink - No Information,null
Y7116S131,,ID1000128309,null,,PTWCF,No Buys or Sells to Open,2021-06-18T22:11:02,O,Pink - No Information,null
Y711CF108,,ID1000125602,null,,PTBRF,No Buys or Sells to Open,2021-06-18T22:11:02,O,Pink - No Information,null
871156105,,US8711561055,B4NP151,,SEGI,No Trading Permitted,2021-06-18T22:11:02,E,Pink - Limited Information,null
45257M106,,US45257M1062,B1G2S35,,IMHC,No Trading Permitted,2021-06-18T22:11:03,E,Caveat Emptor - Upgraded - SRG ,null
45257M106,,US45257M1062,B1G2S35,,IMHC,No Trading Permitted,2021-06-18T22:11:02,E,Pink - Limited Information - Upgraded - ,null
G78497107,,GG00BJ0CDD21,null,,SHHFF,No Trading Permitted,2021-06-18T22:11:02,E,Pink - No Information,null
Y7116S131,,ID1000128309,null,,PTWCF,No Trading Permitted,2021-06-18T22:11:02,E,Pink - No Information,null
Y711CF108,,ID1000125602,null,,PTBRF,No Trading Permitted,2021-06-18T22:11:02,E,Pink - No Information,null
243437100,,CA2434371001,null,,DBCCF,No Buys or Sells to Open,2021-06-18T17:29:29,O,Cannabis Related,null
243437100,,CA2434371001,null,,DBCCF,No Trading Permitted,2021-06-18T17:29:29,E,Cannabis Related,null
316092261,,US3160922619,null,,FPFD,"No Buys, Not Available",2021-06-17T09:07:49,O,Category 2B ETF,"Min asset levels, Active due diligence"
30151E640,,US30151E6409,null,,CUBS,"No Buys, Not Available",2021-06-18T16:24:34,O,Category 2B ETF,"Min asset levels, Active due diligence"
316092261,,US3160922619,null,,FPFD,"No Buys, ETP Category 2B",2021-06-17T09:07:49,E,Category 2B ETF,"Min asset levels, Active due diligence"
30151E640,,US30151E6409,null,,CUBS,"No Buys, ETP Category 2B",2021-06-18T16:24:34,E,Category 2B ETF,"Min asset levels, Active due diligence"
44502H103,,CA44502H1038,BNNJN49,,HMBL,No Buys or Sells to Open,2021-06-18T08:27:18,O,Cannabis Related,null
44502H103,,CA44502H1038,BNNJN49,,HMBL,No Trading Permitted,2021-06-18T08:27:18,E,Cannabis Related,null
74768C100,,US74768C1009,B7L52L7,,QMEI,No Buys or Sells to Open,2021-06-18T08:18:33,O,SRG Restriction,previously restricted under symbol VUME
74768C100,,US74768C1009,B7L52L7,,QMEI,No Trading Permitted,2021-06-18T08:18:33,E,SRG Restriction,previously restricted under symbol VUME
09547W209,,US09547W2098,BCDFGF2,,BERI,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - No Information - Upgraded - SRG ,null
536880107,,US5368801073,BC9ZW58,,LTSY,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - Limited Information,null
69482P205,,US69482P2056,BZ053D3,,PFSF,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - Limited Information,null
463228205,,US4632282053,2457529,,IRNS,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - No Information - Upgraded - SRG ,null
30151J102,,US30151J1025,B1G1FB9,,XLTD,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - Limited Information,null
G8402N125,,GB00BGBN7C04,BDGV494,,SSPPF,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - No Information,null
09547W209,,US09547W2098,BCDFGF2,,BERI,No Trading Permitted,2021-06-18T06:45:10,E,Pink - No Information - Upgraded - SRG ,null
536880107,,US5368801073,BC9ZW58,,LTSY,No Trading Permitted,2021-06-18T06:45:10,E,Pink - Limited Information,null
69482P205,,US69482P2056,BZ053D3,,PFSF,No Trading Permitted,2021-06-18T06:45:10,E,Pink - Limited Information,null
463228205,,US4632282053,2457529,,IRNS,No Trading Permitted,2021-06-18T06:45:10,E,Pink - No Information - Upgraded - SRG ,null
30151J102,,US30151J1025,B1G1FB9,,XLTD,No Trading Permitted,2021-06-18T06:45:10,E,Pink - Limited Information,null
G8402N125,,GB00BGBN7C04,BDGV494,,SSPPF,No Trading Permitted,2021-06-18T06:45:10,E,Pink - No Information,null
91137R105,,US91137R1059,B03HJ99,,URHG,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - Limited Information - Upgraded - ,null
482781101,,US4827811013,BWV0PS5,,KYNC,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - Limited Information - Upgraded - ,null
897012100,,US8970121005,BD6SP25,,TGRP,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - Limited Information - Upgraded - ,null
44951N106,,US44951N1063,BZ567G2,,IDWM,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - Limited Information,null
27887W100,,CA27887W1005,B6ZPW83,,ECAOF,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - No Information,null
101626109,,US1016261091,B1G2NB8,,BNCM,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - Limited Information,null
65172R105,,US65172R1059,BDCVVS6,,NPFC,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - Limited Information - Upgraded - ,null
13767T102,,US13767T1025,BNB7R09,,CANL,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - Limited Information - Upgraded - ,null
Q9472H104,,AU000000VTG6,null,,VTGFF,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - No Information - Upgraded - SRG ,null
146094107,,US1460941073,BYQC654,,CRTL,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - Limited Information,null
30250C206,,US30250C2061,B96GWQ4,,FBCD,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - Limited Information - Upgraded - ,null
G66722102,,KYG667221025,null,,NGHDF,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - No Information - Upgraded - SRG ,null
60801P307,,US60801P3073,B74TLR5,,MGUY,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - Limited Information,null
69946T207,,US69946T2078,null,,TEUM,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - Limited Information,null
74727K102,,US74727K1025,2137713,,QEPC,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - Limited Information,null
Y8904F141,,TH0554010Z14,null,,TACJF,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - No Information - Upgraded - SRG ,null
12673W407,,US12673W4078,B9591B2,,CYCA,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - Limited Information - Upgraded - ,null
459831202,,US4598312027,B0F71J1,,ILXP,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - Limited Information - Upgraded - ,null
16939U204,,US16939U2042,B1GF1T1,,CNHC,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - Limited Information,null
806403200,,US8064032001,B153174,,SVIN,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - Limited Information,null
73927C845,,CA73927C8455,null,,POFPF,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - No Information,null
39306L102,,CA39306L1022,null,,GIPIF,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - No Information - Upgraded - SRG ,null
G2042K104,,BMG2042K1045,null,,CHGJF,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - No Information - Upgraded - SRG ,null
Y8620A129,,TH98820535R3,null,,TNVDF,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - No Information - Upgraded - SRG ,null
98160D101,,US98160D1019,BV7LJW7,,WPFH,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - Limited Information,null
08953T106,,US08953T1060,B00J0T5,,BSEG,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - Limited Information,null
83417R103,,US83417R1032,BYV0N41,,SIRC,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - Limited Information,null
Q0028D101,,AU000000ABL8,BTGD2B0,,WOIIF,No Buys or Sells to Open,2021-06-18T06:45:10,O,Pink - No Information,null
91137R105,,US91137R1059,B03HJ99,,URHG,No Trading Permitted,2021-06-18T06:45:10,E,Pink - Limited Information - Upgraded - ,null
482781101,,US4827811013,BWV0PS5,,KYNC,No Trading Permitted,2021-06-18T06:45:10,E,Pink - Limited Information - Upgraded - ,null
897012100,,US8970121005,BD6SP25,,TGRP,No Trading Permitted,2021-06-18T06:45:10,E,Pink - Limited Information - Upgraded - ,null
44951N106,,US44951N1063,BZ567G2,,IDWM,No Trading Permitted,2021-06-18T06:45:10,E,Pink - Limited Information,null
27887W100,,CA27887W1005,B6ZPW83,,ECAOF,No Trading Permitted,2021-06-18T06:45:10,E,Pink - No Information,null
101626109,,US1016261091,B1G2NB8,,BNCM,No Trading Permitted,2021-06-18T06:45:10,E,Pink - Limited Information,null
65172R105,,US65172R1059,BDCVVS6,,NPFC,No Trading Permitted,2021-06-18T06:45:10,E,Pink - Limited Information - Upgraded - ,null
13767T102,,US13767T1025,BNB7R09,,CANL,No Trading Permitted,2021-06-18T06:45:10,E,Pink - Limited Information - Upgraded - ,null
Q9472H104,,AU000000VTG6,null,,VTGFF,No Trading Permitted,2021-06-18T06:45:10,E,Pink - No Information - Upgraded - SRG ,null
146094107,,US1460941073,BYQC654,,CRTL,No Trading Permitted,2021-06-18T06:45:10,E,Pink - Limited Information,null
30250C206,,US30250C2061,B96GWQ4,,FBCD,No Trading Permitted,2021-06-18T06:45:10,E,Pink - Limited Information - Upgraded - ,null
G66722102,,KYG667221025,null,,NGHDF,No Trading Permitted,2021-06-18T06:45:10,E,Pink - No Information - Upgraded - SRG ,null
60801P307,,US60801P3073,B74TLR5,,MGUY,No Trading Permitted,2021-06-18T06:45:10,E,Pink - Limited Information,null
69946T207,,US69946T2078,null,,TEUM,No Trading Permitted,2021-06-18T06:45:10,E,Pink - Limited Information,null
74727K102,,US74727K1025,2137713,,QEPC,No Trading Permitted,2021-06-18T06:45:10,E,Pink - Limited Information,null
Y8904F141,,TH0554010Z14,null,,TACJF,No Trading Permitted,2021-06-18T06:45:10,E,Pink - No Information - Upgraded - SRG ,null
12673W407,,US12673W4078,B9591B2,,CYCA,No Trading Permitted,2021-06-18T06:45:10,E,Pink - Limited Information - Upgraded - ,null
459831202,,US4598312027,B0F71J1,,ILXP,No Trading Permitted,2021-06-18T06:45:10,E,Pink - Limited Information - Upgraded - ,null
16939U204,,US16939U2042,B1GF1T1,,CNHC,No Trading Permitted,2021-06-18T06:45:10,E,Pink - Limited Information,null
806403200,,US8064032001,B153174,,SVIN,No Trading Permitted,2021-06-18T06:45:10,E,Pink - Limited Information,null
73927C845,,CA73927C8455,null,,POFPF,No Trading Permitted,2021-06-18T06:45:10,E,Pink - No Information,null
39306L102,,CA39306L1022,null,,GIPIF,No Trading Permitted,2021-06-18T06:45:10,E,Pink - No Information - Upgraded - SRG ,null
G2042K104,,BMG2042K1045,null,,CHGJF,No Trading Permitted,2021-06-18T06:45:10,E,Pink - No Information - Upgraded - SRG ,null
Y8620A129,,TH98820535R3,null,,TNVDF,No Trading Permitted,2021-06-18T06:45:10,E,Pink - No Information - Upgraded - SRG ,null
98160D101,,US98160D1019,BV7LJW7,,WPFH,No Trading Permitted,2021-06-18T06:45:10,E,Pink - Limited Information,null
08953T106,,US08953T1060,B00J0T5,,BSEG,No Trading Permitted,2021-06-18T06:45:10,E,Pink - Limited Information,null
83417R103,,US83417R1032,BYV0N41,,SIRC,No Trading Permitted,2021-06-18T06:45:10,E,Pink - Limited Information,null
Q0028D101,,AU000000ABL8,BTGD2B0,,WOIIF,No Trading Permitted,2021-06-18T06:45:10,E,Pink - No Information,null
50213W107,,CA50213W1077,BDZXHJ2,,LQWDF,No Buys or Sells to Open,2021-06-18T04:15:14,O,Cryptocurrency Related,Cryptocurrency Related Restriction TR- 
50213W107,,CA50213W1077,BDZXHJ2,,LQWDF,No Trading Permitted,2021-06-18T04:15:14,E,Cryptocurrency Related,Cryptocurrency Related Restriction TR- 
G3R10G100,,KYG3R10G1007,null,,FGRTF,No Buys or Sells to Open,2021-06-17T22:11:51,O,Pink - No Information,null
J62707104,,JP3485900009,null,,DACLF,No Buys or Sells to Open,2021-06-17T22:11:51,O,Pink - No Information,null
Y897AP105,,SGXE45760753,null,,TRKLF,No Buys or Sells to Open,2021-06-17T22:11:51,O,Pink - No Information,null
J10795102,,JP3483850008,null,,DSHHF,No Buys or Sells to Open,2021-06-17T22:11:51,O,Pink - No Information,null
J8744E103,,JP3624000000,B02LVR4,,TKIEF,No Buys or Sells to Open,2021-06-17T22:11:51,O,Pink - No Information,null
J04116109,,JP3315200000,null,,BKSGF,No Buys or Sells to Open,2021-06-17T22:11:51,O,Pink - No Information,null
J84807106,,JP3553200001,null,,THOOF,No Buys or Sells to Open,2021-06-17T22:11:51,O,Pink - No Information,null
J1R278100,,JP3482600008,null,,DAICF,No Buys or Sells to Open,2021-06-17T22:11:51,O,Pink - No Information,null
G3R10G100,,KYG3R10G1007,null,,FGRTF,No Trading Permitted,2021-06-17T22:11:51,E,Pink - No Information,null
J62707104,,JP3485900009,null,,DACLF,No Trading Permitted,2021-06-17T22:11:51,E,Pink - No Information,null
Y897AP105,,SGXE45760753,null,,TRKLF,No Trading Permitted,2021-06-17T22:11:51,E,Pink - No Information,null
J10795102,,JP3483850008,null,,DSHHF,No Trading Permitted,2021-06-17T22:11:51,E,Pink - No Information,null
J8744E103,,JP3624000000,B02LVR4,,TKIEF,No Trading Permitted,2021-06-17T22:11:51,E,Pink - No Information,null
J04116109,,JP3315200000,null,,BKSGF,No Trading Permitted,2021-06-17T22:11:51,E,Pink - No Information,null
J84807106,,JP3553200001,null,,THOOF,No Trading Permitted,2021-06-17T22:11:51,E,Pink - No Information,null
J1R278100,,JP3482600008,null,,DAICF,No Trading Permitted,2021-06-17T22:11:51,E,Pink - No Information,null
34987W105,,US34987W1053,BD5F4D1,,GEIND,No Buys or Sells to Open,2021-06-17T09:30:03,O,SRG Restriction,previously restricted under symbol GEIN
34987W105,,US34987W1053,BD5F4D1,,GEIND,No Trading Permitted,2021-06-17T09:30:03,E,SRG Restriction,previously restricted under symbol GEIN
316092287,,US3160922874,null,,FDWM,"No Buys, Not Available",2021-06-17T09:09:05,O,Category 3 ETF,Firm policy on non-transparent active 
316092279,,US3160922791,null,,FSST,"No Buys, Not Available",2021-06-17T09:09:04,O,Category 3 ETF,Firm policy on non-transparent active 
316092287,,US3160922874,null,,FDWM,"No Buys, Not Available",2021-06-17T09:09:05,E,Category 3 ETF,Firm policy on non-transparent active 
316092279,,US3160922791,null,,FSST,"No Buys, Not Available",2021-06-17T09:09:04,E,Category 3 ETF,Firm policy on non-transparent active 
834256208,,US8342562084,2820604,,SODI,No Buys or Sells to Open,2021-06-17T06:45:11,O,Pink - No Information,null
