,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,BlkCnt,BlkSizeMeanByte,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2017-09-23,0.0,14404.0,14405.0,14405.0,1811.0,14405.0,14405.0,68.0,14405.0,14505.0,14505.0,14505.0,14505.0,14405.0,14405.0,14405.0,14405.0,14505.0,14405.0,4756.0,,,,,,,,,1613887838.0,406.0,667.625615763547,,,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,,0.682028762791,,,,,,,,,,,,,,8.839e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31112186171.0,31112484645.0,31112484645.0,21219609478.0,31112484645.0,31112484645.0,9587904351.0,31112484645.0,31112484745.0,31112484745.0,31112484745.0,31112484745.0,31112484645.0,31112484645.0,31112484645.0,31112484645.0,31112484645.0,26222170632.0,,,,,,,,,10403117167.0,19944445046.0,11313066533.0,31112484745.0,25145689143.0,0.0,0.0,0.0,0.0,,,,,,0.0,,
1,2017-09-24,8.0,14404.0,14405.0,14405.0,1811.0,14405.0,14405.0,68.0,14405.0,14507.0,14507.0,14506.0,14505.0,14405.0,14405.0,14405.0,14405.0,14504.0,14405.0,4756.0,,,,,,,,,1613887853.0,4320.0,665.894212962963,,,,,,,0.1398796,,0.17089400000000002,,0.699398,,0.0,0.0,0.0,,0.0,,0.682028762807,39948543226.36804,,32287156037.642624,,,,,,,,,,,8.778000000000001e-09,0.300602,0.300602,0.300602,0.300602,0.300602,0.300602,0.300602,0.300602,0.300602,0.300602,0.300602,0.300602,1e-09,31112186171.0,31112484645.0,31112484645.0,21219609478.0,31112484645.0,31112484645.0,9587904351.0,31112484645.0,31112484744.3006,31112484744.299362,31112484744.23,31112484744.0,31112484645.0,31112484645.0,31112484645.0,31112484645.0,31112484645.0,26222170632.0,,,,,,,,,10403117167.0,19944445046.0,11313066533.0,31112484744.3006,25145689142.3006,5.0,5.787036999999999e-05,9.0,0.778814,,0.31199111,,0.558212,,9.000000000000001e-11,,
2,2017-09-25,16.0,14404.0,14405.0,14405.0,1811.0,14405.0,14405.0,68.0,14405.0,14509.0,14509.0,14508.0,14507.0,14405.0,14405.0,14405.0,14405.0,14502.0,14405.0,4756.0,,,,,,,,,1613887868.0,4320.0,634.853009259259,,,,,,,0.06507962,,0.0,,0.520637,,0.0,0.0,0.0,,0.0,,0.6820287628180001,5356400239.681052,,4329142350.898313,,,,,,,,,,,8.731e-09,4.779965,4.779965,4.779965,4.779965,4.779965,4.779965,4.779965,4.779965,4.779965,4.779965,4.779965,4.779965,1.54e-08,31112186171.0,31112484645.0,31112484645.0,21219609478.0,31112484645.0,31112484645.0,9587904351.0,31112484645.0,31112484743.77996,31112484743.778725,31112484743.709362,31112484742.0,31112484645.0,31112484645.0,31112484645.0,31112484645.0,31112484645.0,26222170632.0,,,,,,,,,10403117167.0,19944445046.0,11313066533.0,31112484743.77996,25145689141.77996,8.0,9.2592593e-05,11.0,5.8084690000000005,,0.64887045,,1.0,,3.2000000000000003e-10,,
3,2017-09-26,4.0,14404.0,14405.0,14405.0,1811.0,14405.0,14405.0,68.0,14405.0,14509.0,14508.0,14507.0,14506.0,14405.0,14405.0,14405.0,14405.0,14502.0,14405.0,4756.0,,,,,,,,,1613887883.0,4320.0,662.833796296296,,,,,,,0.178761,,0.178761,,0.178761,,0.0,0.0,0.0,,0.0,,0.682028762822,28268606402.315464,,22847213744.47912,,,,,,,,,,,8.716e-09,4.601204,4.601204,4.300602,4.601204,4.601204,4.601204,4.601204,4.601204,4.601204,4.601204,4.601204,4.601204,1.48e-08,31112186171.0,31112484645.0,31112484645.0,21219609478.0,31112484645.0,31112484645.0,9587904351.0,31112484645.0,31112484743.6006,31112484743.59936,31112484743.53,31112484742.1,31112484645.0,31112484645.0,31112484645.0,31112484645.0,31112484645.0,26222170632.0,,,,,,,,,10403117167.0,19944445046.0,11313066533.0,31112484743.601208,25145689141.601204,1.0,1.1574074e-05,2.0,1.100602,,0.550301,,1.100602,,3.5499999999999996e-10,,
4,2017-09-27,12.0,14404.0,14406.0,14406.0,1811.0,14405.0,14406.0,68.0,14405.0,14511.0,14510.0,14509.0,14507.0,14406.0,14405.0,14406.0,14405.0,14502.0,14406.0,4756.0,,,,,,,,,1613887900.0,4320.0,634.709259259259,,,,,,,0.1139295,,0.1708065,,0.683577,,0.0,0.0,0.0,,0.0,,0.6820287306899999,12.631578975517002,,10.209077594915,,,,,,,,,,,9.7064e-08,2463071705.917627,2463071705.917627,2463071702.647025,2463071705.917627,2463071705.917627,2463071705.917627,2463071705.917627,2463071705.917627,2463071705.917627,2463071705.917627,2463071705.917627,2463071705.917627,7.9166666574,31112185170.82893,31112484644.82893,31112484644.82893,21219608477.82893,31112483644.82893,31112484644.82893,9587903350.82893,31112483644.82893,31112484742.917027,31112484742.915783,31112484742.787144,31112484740.82893,31112484644.82893,31112484644.82893,31112483644.82893,31112483644.82893,31112484644.82893,26222169631.82893,,,,,,,,,10403116166.82893,19948288125.82893,11313065532.82893,31112484742.917625,25145690141.088696,6.0,6.944444400000001e-05,9.0,2463071703.325529,,547349267.1472809,,0.9645530000000001,,0.158333333261,,
5,2017-09-28,65.0,14404.0,14406.0,14411.0,1811.0,14405.0,14407.0,68.0,14405.0,14517.0,14515.0,14514.0,14512.0,14406.0,14405.0,14409.0,14405.0,14506.0,14405.0,4756.0,,,,,,,,,1613887916.0,4306.0,670.7772875058059,,,,,,,0.06238814,,0.0,,2.2459729999999998,,0.0,0.0,0.0,,0.0,,0.6820287307170001,6.4534811887390005,,5.215823796971,,,,,,,,,,,9.6926e-08,5987753239.671654,5987753239.671654,5987753237.40045,5987753239.671654,5987753239.671654,5987753239.671654,5987753239.671654,5987753239.671654,5987753239.671654,5987753239.671654,5987753239.671654,5987753239.671654,19.245499964300002,31112185170.14473,31112484578.253204,31112484643.053806,21219608477.14473,31112483644.14473,31112484612.43265,9587903350.144733,31112483644.14473,31112484740.671005,31112484740.66977,31112484740.54112,31112484738.053806,31112484633.453808,31112484578.253204,31112483644.14473,31112483644.14473,31112483644.14473,26222169631.14473,,,,,,,,,10403116166.144733,19948288125.14473,11313065532.144733,31112484740.67165,25145690139.52692,36.0,0.000416666667,48.0,4821039037.807937,,113938314.34929292,,749991.5,,0.33411611418299997,,
6,2017-09-29,4747.0,14384.0,14533.0,14600.0,1810.0,14507.0,14562.0,68.0,14482.0,14810.0,14798.0,14788.0,14780.0,14551.0,14451.0,14588.0,14496.0,14732.0,14522.0,4765.0,,,,,,,,,1613887932.0,4320.0,823.352314814815,,,,,,,0.03926251,,0.0,,97.64585799999999,,0.0,0.0,0.0,,0.0,,0.681009094221,5.760642975315,,4.655859034122,,,,,,,,,,,2.877618e-06,9990992137.025795,9990992137.025795,7527921433.108169,9990992137.025795,9990992137.025795,9990992137.025795,9990992137.025795,9990992137.025795,9990992137.025795,9990992137.025795,9990992137.025795,9990992137.025795,32.112485555700005,31097018518.158825,31112481572.713867,31112484464.60126,21187884985.696537,31112452154.52532,31112484124.380108,9496017093.419905,31112180358.86759,31112484643.02421,31112484642.968105,31112484642.61385,31112484614.33,31112484399.401264,31112483572.713867,31110167140.238132,31112388626.69635,31112473826.154243,26218574500.957798,,,,,,,,,10323575526.767092,20034175292.921505,11290066332.253706,31112484643.0258,25145690041.88106,2487.0,0.028784722222,3035.0,5400870141.813676,,2345286.61214637,,825277.0,,0.562897099764,,
7,2017-09-30,4976.0,14298.0,14657.0,14800.0,1810.0,14604.0,14716.0,69.0,14529.0,15113.0,15088.0,15073.0,15060.0,14702.0,14455.0,14766.0,14577.0,14976.0,14636.0,4774.0,,,,,,,,,1613887947.0,4319.0,807.874739523038,,,,,,,0.05781594,,0.0,,146.158702,,0.0,0.0,0.0,,0.0,,0.6809935876000001,5.32121637382,,4.300706258852,,,,,,,,,,,5.478512e-06,14004021378.867094,14004021378.867094,8020115199.503909,14004021378.867094,14004021378.867094,14004021378.867094,14004021378.867094,14004021378.867094,14004021378.867094,14004021378.867094,14004021378.867094,14004021378.867094,45.0109388734,31075634039.29286,31112477463.602837,31112484238.621483,21187402436.65651,31112422434.78674,31112483438.234524,9513849090.51234,31111415727.548107,31112484496.863792,31112484496.766724,31112484496.181656,31112484445.22396,31112484034.855682,31112482691.089275,31106968315.558918,31112248575.728786,31112464698.661,26244467361.272686,,,,,,,,,10307342017.959005,20148056872.36792,11328273936.44562,31112484496.867092,25145689895.72236,2528.0,0.029259259259,3351.0,5846874532.285357,,2720713.2797026,,791085.0,,0.855934137146,,
8,2017-10-01,5973.0,14236.0,15023.0,15219.0,1783.0,14936.0,15109.0,70.0,14789.0,15681.0,15634.0,15608.0,15579.0,15076.0,14614.0,15168.0,14891.0,15396.0,14987.0,4773.0,,,,,,,,,1613887962.0,4316.0,896.463392029657,,,,,,,0.09404741,,0.17107,,291.170785,,0.0,0.0,0.0,,0.0,,0.679336954621,4.548631577015,,3.676288817212,,,,,,,,,,,9.462876e-06,16950977122.69631,16950977122.69631,7978207303.035146,16950977122.69631,16950977122.69631,16950977122.69631,16950977122.69631,16950977122.69631,16950977122.69631,16950977122.69631,16950977122.69631,16950977122.69631,54.482878996800004,31025233201.89352,31112474185.820087,31112483881.29988,21135860270.991486,31112375057.661568,31112482803.733807,9645516199.918001,31110248576.088882,31112484205.690994,31112484205.525345,31112484204.306225,31112484088.1326,31112483564.18514,31112480553.96875,31099408157.49055,31112101275.511883,31112451234.350563,26215416438.969933,,,,,,,,,10419102684.11088,20407543345.812744,11534340898.913216,31112484205.69631,25145689604.55157,3096.0,0.035833333333,4757.0,6839965752.098607,,4228024.03408753,,833347.0,,1.502385588801,,
9,2017-10-02,5858.0,14233.0,15579.0,15876.0,1769.0,15399.0,15719.0,70.0,15114.0,16528.0,16438.0,16396.0,16346.0,15677.0,14849.0,15797.0,15306.0,16078.0,15504.0,4781.0,,,,,,,,,1613887978.0,4314.0,859.159944367177,,,,,,,0.10739878,,0.17107,,316.07460299999997,,0.0,0.0,0.0,,0.0,,0.6769468083490001,3.563601925636,,2.8801694871990002,,,,,,,,,,,1.9554860000000002e-05,19348712430.621704,19348712430.621704,7211827652.34619,19348712430.621704,19348712430.621704,19348712430.621704,19348712430.621704,19348712430.621704,19348712430.621704,19348712430.5511,19348712430.621704,19348712430.621704,62.1895458404,30970776516.67674,31112466355.913605,31112483462.91322,21061496668.88048,31112253803.994087,31112481923.349545,9719137879.267168,31108323501.45645,31112483889.610943,31112483889.315025,31112483887.044594,31112483714.81488,31112482944.637024,31112478962.050205,31092380846.173595,31111676716.659325,31112419116.729168,26167703266.456387,,,,,,,,,10490486208.460049,20680990475.884113,11766160756.595284,31112483889.621708,25145689288.476967,2943.0,0.0340625,4735.0,8730628319.007109,,8798568.94591527,,983735.0,,2.8414372884850003,,
