,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,BlkCnt,BlkSizeMeanByte,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,DiffLast,DiffMean,FeeByteMeanNtv,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,RevAllTimeUSD,RevNtv,RevUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
1879,2021-04-01,39953.0,45328.0,91979.0,172546.0,442.0,71942.0,106493.0,28.0,56100.0,218999.0,182919.0,109390.0,93967.0,46363.0,7.0,58490.0,44.0,74618.0,515.0,0.0,80564.0,805.0,98409.0,48189.0,9.0,119547.0,61665.0,85.0,1617343201.0,297.0,22895.05387205387,1885921068.8525965,1.548819,1.38004656,2319049551.522594,2066346261.822746,1497301844.3889678,34630458083.524765,32300311368.798847,3.41779e-07,0.00053586,0.0973117040946413,2.98e-05,0.005411653756616113,2.32403794,422.04324323890506,2650.90587574,7.577035,0.020759,481402.17251288914,0.298335740922,30.462324623640004,26.895704114746188,27.14289161,23.964920292499837,0.003087423962594969,181.599119349534,1474.4279504463711,26.382354853333894,179.88875213287102,0.00305973867212157,0.0938445548614907,153.070757472213,179.88875213287102,212983107.1539388,2653.2299136799993,481824.2157561279,0.002563071682,11373816.43071095,10112312.96151973,1299565.70199886,10385078.27354966,10788839.34871903,6703885.09488572,11082511.02637274,11330344.49384824,11366398.90619797,2960168.65224094,9656382.97363995,11373816.43071095,81.32301700000001,12176541.958395598,12769048.687073,12770127.60696865,3809794.7207316,12758481.84609564,12769907.71984031,2205038.56183656,12678656.60698084,12770139.32494967,12769938.65101443,12769264.33831886,12761377.53414798,12704808.57466939,12292752.16953996,1570192.52277865,2383910.90123638,3890987.55916921,0.0,12770017.62983457,12769637.96451924,12765881.800803501,4104185.07248427,12431456.00418719,1702543.67930579,12729091.62614652,2697576.16594797,2773481.52931001,8414078.06942874,4555756.63686668,12770158.57692013,11378613.88989191,5794.0,0.067060185185,27843.0,419211.55836577,76128449.82036962,99.944905360154,18149.90679687649,0.67108864,121.86910602947646,39.408307091211,0.060150229175582,0.036029087238028494
1880,2021-04-02,34211.0,45612.0,91471.0,171944.0,441.0,71698.0,105824.0,28.0,56128.0,218524.0,182345.0,108555.0,93462.0,46647.0,7.0,58392.0,45.0,74384.0,517.0,0.0,80203.0,805.0,97934.0,48499.0,9.0,118801.0,61610.0,86.0,1617423107.0,283.0,21033.22261484099,1899097657.365003,1.54611961,1.37761725,2335393925.310005,2080873263.6240191,1510487225.2851605,33007333575.9456,33241253895.012634,3.87707e-07,0.00061689,0.11278436825176595,2.98e-05,0.005448255238215282,2.30778892,421.9269487276909,2525.36822179,7.21605,0.01977,461706.397409053,0.295787088385,31.052325230968,26.8816215017805,27.66811742,23.951953826586394,0.003097113433093864,182.82735698708998,1452.3463751706245,22.491483587848982,181.599119349534,0.00308742396259497,0.0921242706391003,154.258690424249,181.599119349534,213464931.36969483,2527.676010710001,462128.324357781,0.002552177143,11376097.43310704,10115285.59378254,1253086.79145692,10387382.32976318,10790904.30353955,6725351.00378047,11084644.24681871,11332589.6202277,11368444.58934421,2954814.19138761,9659741.205705099,11376097.43310704,81.318087,12192704.94153092,12772663.58222221,12773735.21055083,3778315.13173912,12762216.10667452,12773515.95671415,2195312.60351331,12684139.21633005,12773746.96030731,12773545.14383274,12772879.61521328,12765123.45271304,12708944.70554703,12308975.0264963,1566791.83816609,2383964.99249497,3862987.0676087006,0.0,12773624.77077728,12773254.89707615,12769537.34226521,4073484.44950574,12449296.35915222,1697774.50277985,12733449.64520491,2685935.02035129,2756739.80627337,8367498.06039648,4525610.63427287,12773766.26669123,11381629.63090341,5129.0,0.059363425926,23362.0,411362.63296483,75208342.94821027,51.625574615686,9438.567359925677,0.66373901,121.34964892752771,39.451811241883995,0.06008730486176035,0.03557453266066238
1881,2021-04-03,30505.0,45779.0,91479.0,172292.0,433.0,71749.0,105873.0,29.0,56260.0,218997.0,182727.0,108595.0,93454.0,46813.0,7.0,58511.0,45.0,74436.0,514.0,0.0,80108.0,786.0,97782.0,48583.0,9.0,118883.0,61559.0,79.0,1617512044.0,293.0,18253.941979522184,1846513517.6886494,1.49549683,1.33250345,2270944424.5177107,2023435429.8840344,1518521722.4943159,34200130583.030083,34113366507.328846,3.82344e-07,0.00056756,0.10087285105693511,2.98e-05,0.005296375645740832,2.04492893,363.44670409808253,2574.47769827,7.354385000000001,0.020149,457563.7913295349,0.293253706447,29.510554240141,25.946287829032546,26.29421502,23.118416065326265,0.003102711453403724,177.73072636714198,1420.7295537202274,23.43767494532119,182.82735698708998,0.00309711343309386,0.0856707869831917,155.324805541919,182.82735698708998,213927059.69405273,2576.5226272000004,457927.23803363316,0.002566531951,11378247.32046989,10117964.26784289,1014592.59657951,10389388.23596697,10792705.18119285,6509647.33041251,11086884.497416,11333458.09079495,11370488.61283094,2891154.82444273,9660223.03724731,11378247.32046989,81.310379,12198486.28526674,12776339.60903115,12777412.97587382,3747032.84703612,12765896.49193489,12777192.39988481,2191370.63784432,12688234.17608181,12777424.76529325,12777221.5001982,12776553.90649412,12768805.27508732,12712903.10367374,12314619.74276462,1557327.4902995,2367806.32214406,3837383.12493733,0.0,12777301.57105043,12776921.18920217,12773136.69395977,4039011.01283832,12450234.22542212,1688920.46015763,12736414.75656508,2626131.97430224,2735438.9722554,8345691.68132843,4499311.92278107,12777444.11974424,11384837.45182126,5018.0,0.058078703704000006,21133.0,432978.79178304,76953635.16516723,51.94364514775,9231.981782266677,0.67108864,119.27307144393745,39.468724013819,0.06017374771476387,0.03528236304930862
1882,2021-04-04,21299.0,45785.0,91196.0,172169.0,431.0,71553.0,105589.0,27.0,56128.0,218938.0,182631.0,108322.0,93173.0,46824.0,7.0,58339.0,44.0,74241.0,511.0,0.0,80114.0,807.0,97757.0,48715.0,9.0,118823.0,61658.0,87.0,1617598382.0,285.0,13359.631578947368,1939297519.386413,1.55518453,1.38567649,2384461229.8307443,2124565810.9405863,1533233638.5600634,36805599936.61128,35369422003.184006,3.68914e-07,0.00044116,0.08230381651279761,2.98e-05,0.005559556016142372,1.40463968,262.0527846797415,2521.74186985,7.20145,0.01973,470461.91891552636,0.293294336502,31.919626482751003,27.045265912224355,28.44053251,24.097455050249387,0.0032054163651855185,186.562282420885,1459.310905407154,27.28200599765258,177.73072636714198,0.00310271145340373,0.0877618076674969,151.734209928484,177.73072636714198,214384986.93208638,2523.146509530001,470723.97170020634,0.0025549358800000003,11383145.34858118,10124369.62472792,971703.08158892,10394906.69936892,10798560.42290078,6481844.91222175,11092117.9809606,11338301.19498293,11375276.50065565,2901696.99819642,9660348.46673181,11383145.34858118,81.33063800000001,12207426.98118938,12779941.19280695,12781015.42808495,3748608.5892717997,12769546.18818593,12780793.92557438,2165133.45716524,12692220.6318301,12781027.25065248,12780823.14248706,12780155.71461201,12772456.28292788,12716459.81768433,12324188.47424061,1558334.71299244,2355379.47070745,3838595.33442453,0.0,12780904.52212304,12780536.97597619,12776889.25664007,4054491.53362541,12466311.91082508,1690440.38070295,12741519.41730914,2672141.92039063,2737888.75810917,8347913.47726345,4501261.86127828,12781046.62362242,11387970.72683513,4570.0,0.052893518519,13338.0,400413.41431514,74702040.48657198,83.60917566225099,15598.318642878261,0.67108864,125.19982838512763,39.446155916692,0.06015665300383347,0.0360424356634908
1883,2021-04-05,30857.0,45790.0,91991.0,174245.0,428.0,71852.0,106642.0,27.0,56072.0,221129.0,184745.0,109698.0,93970.0,46828.0,7.0,58438.0,43.0,74529.0,511.0,0.0,80776.0,820.0,98714.0,48775.0,9.0,120429.0,61934.0,88.0,1617689821.0,265.0,20169.46037735849,2000988765.427561,1.58536851,1.41256858,2459549675.938431,2191466881.235716,1551405657.2662542,34710481199.64612,35590694742.14213,4.00062e-07,0.00060455,0.1163071298534033,2.98e-05,0.0057331113549440385,2.13829635,411.37889545034875,2370.74420452,6.768560000000001,0.018544,456098.6751208517,0.292256222319,22.902759069601,27.55856583366939,20.40643394,24.55477313984221,0.003274334024547041,192.386287078659,1537.132580095727,26.193651465529005,186.562282420885,0.0032054163651855103,0.0898058530977368,158.83458676408702,186.562282420885,214855710.90378657,2372.882500870001,456510.0540163024,0.0026082816109999998,11388424.09399866,10135334.51710104,1143502.11420803,10400890.81094141,10801942.90394701,6498869.58674422,11097477.37582659,11343260.58966555,11380504.270856,2895932.64831882,9669638.81388373,11388424.09399866,81.3559,12210429.60756669,12783309.74320273,12784402.13373169,3736330.21257093,12772713.93576838,12784174.75650856,2164077.40157376,12693219.30185501,12784414.00112527,12784207.37085099,12783524.45531511,12775612.80452171,12719121.76744678,12326990.26474227,1556334.1468245,2342181.23665156,3829293.08459138,0.0,12784290.24843491,12783914.72066739,12780281.49386009,4049775.43672988,12471532.02297496,1688409.67174922,12745100.46271423,2670921.84920743,2731081.64727564,8379119.577677,4493177.83015018,12784433.40887815,11390972.37392867,4840.0,0.056018518519,22498.0,558204.94683747,107390977.15100111,78.588326083405,15119.316262913215,0.67108864,129.10825175026685,39.361280523951,0.06016561381648933,0.03581879677141507
1884,2021-04-06,25346.0,45822.0,92494.0,175022.0,422.0,72255.0,107119.0,27.0,56353.0,221989.0,185550.0,110184.0,94473.0,46866.0,7.0,58761.0,43.0,74936.0,511.0,0.0,81197.0,813.0,99132.0,48761.0,9.0,120976.0,62153.0,85.0,1617769510.0,304.0,14094.190789473683,1971494066.4749224,1.54838271,1.37961527,2422933000.121491,2158843131.3276644,1564815333.4462109,30050910757.173058,31287599345.461494,4.09696e-07,0.00053486,0.10133710589146953,2.98e-05,0.005646048976490656,1.75539704,332.58582755123246,2710.98116057,7.737635000000001,0.021199000000000003,513635.3156685135,0.289342955749,16.005566905043,26.69562150307099,14.26102504,23.7859070455263,0.0032619054143775503,189.46473075472,1390.7210758737629,23.531070491478697,192.386287078659,0.00327433402454705,0.0916331443331444,162.73321618814302,192.386287078659,215312220.95780295,2712.736557609999,513967.90149606444,0.002636894815,11391183.33139392,10141756.32558875,1205818.73660084,10405599.28289349,10807026.46730107,6537792.57909995,11100043.36655698,11345978.24495731,11383230.95931802,2866552.6918459,9682377.13431348,11391183.33139392,81.36808,12203346.10881015,12787181.94046115,12788274.91013505,3700206.32887389,12776526.48989509,12788045.98765267,2151617.60078779,12696471.5688277,12788286.81055476,12788078.69972171,12787396.62564222,12779429.11243211,12722821.99751693,12320772.02583152,1548317.75269126,2331085.08150126,3799876.33821406,0.0,12788162.16959414,12787782.30742978,12784114.63069302,4017931.22759142,12462172.36253476,1679760.99122884,12748207.10332853,2638998.00838694,2714422.69423563,8373638.70179053,4467284.10328614,12788306.24818614,11394432.74074314,4772.0,0.055231481480999996,16222.0,798991.14627154,151380642.40374246,115.98708172259501,21975.461209597164,0.67108864,127.14762849015119,39.43765627022,0.060204477740100036,0.03606511301451732
1885,2021-04-07,27384.0,45976.0,93728.0,177794.0,419.0,72813.0,108900.0,26.0,56351.0,224844.0,188345.0,112202.0,95720.0,47024.0,6.0,59018.0,40.0,75497.0,504.0,0.0,81869.0,769.0,100185.0,48822.0,9.0,123326.0,62206.0,82.0,1617857163.0,310.0,13841.858064516127,1892492647.5079503,1.47617991,1.3152816999999999,2325943655.0899363,2072424302.2158685,1575650526.3326514,35024889260.50441,33202313056.860046,3.45445e-07,0.00033650000000000005,0.06118386439389655,2.98e-05,0.005418363028047896,1.48229524,269.5172390962209,2769.20968319,7.90152,0.021648,503509.508869427,0.287418768374,26.523693227242,25.42570778970336,23.63270766,22.65439861757231,0.00323146421390999,181.824262686171,1369.3938407917456,19.186942551219953,189.46473075472,0.0032619054143775603,0.0895009768073815,159.866266423743,189.46473075472,215826188.85929897,2770.6919784299994,503779.0261085231,0.002721898883,11393208.63880117,10145834.86050753,1317511.64064007,10408361.45599774,10808182.96130886,6570849.57052457,11101946.51908996,11347926.37844062,11385202.74773185,2912433.14489969,9689152.90726995,11393208.63880117,81.36451,12209058.90762606,12791108.22711904,12792230.87376641,3676736.26597699,12780174.29322676,12791995.17864418,2125325.55129488,12696471.55578738,12792242.80254317,12792030.37594381,12791324.42785006,12783081.44783809,12725606.30931885,12327058.04533628,1442913.83355033,2283985.47623553,3771719.08972243,0.0,12792116.66135287,12791699.8662527,12787868.942969501,3964973.80403079,12462938.59923577,1672269.35255934,12749939.63569914,2607131.89229722,2698846.52278092,8394336.06790178,4441008.26873804,12792262.26867489,11397952.46024386,5927.0,0.068599537037,17729.0,482295.66520307,87693053.72228454,76.62887060545299,13932.98789831049,0.67108864,122.02019716506524,39.494859660502,0.06026033583402824,0.03706810161126732
1886,2021-04-08,27413.0,45502.0,92184.0,176203.0,413.0,71686.0,107237.0,32.0,55594.0,223349.0,186785.0,110483.0,94182.0,46550.0,6.0,58077.0,48.0,74359.0,501.0,0.0,80733.0,797.0,98853.0,48424.0,9.0,121876.0,61511.0,87.0,1617948416.0,279.0,16296.36559139785,1969724981.5630715,1.52196608,1.35607685,2419807600.137492,2156056636.1841016,1589922159.3412497,36746587937.44523,36725432622.03449,3.39118e-07,0.00045309,0.08568349473607392,3.85e-05,0.0072807048209822455,1.54186232,291.58037471467196,2490.80817224,7.10509,0.019466,471034.7809810324,0.294068926856,20.440048715453997,26.16167754806709,18.21215153,23.31014188401331,0.003262565634132092,189.109216129409,1375.4124571586674,15.646104164404239,181.824262686171,0.00323146421390999,0.09158076750443302,153.465147691488,181.824262686171,216329967.88540736,2492.35003456,471326.36135574727,0.0026262764500000002,11400655.91711955,10153597.73272139,1180915.18070244,10415806.38891323,10814527.00375585,6555268.140053299,11109300.24979529,11355363.51829543,11392592.11021203,2882768.41927208,9694014.78798949,11400655.91711955,81.40006600000001,12227536.23943883,12794670.19785647,12795789.11655689,3762853.22701202,12783916.68854342,12795553.01905004,2245352.33621429,12702502.35698531,12795801.08306633,12795587.63145302,12794887.04434325,12786812.46899703,12729670.20063864,12345554.70790606,1440684.38779727,2423216.33093779,3861180.12920024,0.0,12795675.67753104,12795273.71113209,12791575.19283826,4071531.08768928,12485511.069775699,1665464.3734571,12755384.38647644,2710528.96707632,2776767.15341374,8460226.74429767,4532612.7842217,12795820.58275572,11401118.78370166,4772.0,0.055231481480999996,16047.0,626017.1274974,118385608.26461759,124.69246168148099,23580.493685831236,0.67108864,126.90904666375114,39.611111366286,0.06027851155767976,0.03566647699827872
1887,2021-04-09,30736.0,46015.0,94496.0,179242.0,408.0,73401.0,109605.0,29.0,56602.0,226498.0,189855.0,113093.0,96505.0,47073.0,6.0,59436.0,43.0,76089.0,493.0,0.0,82774.0,804.0,101219.0,48981.0,9.0,124527.0,62918.0,83.0,1618031523.0,277.0,17041.440433212996,1986915755.840915,1.52339498,1.35735179,2441030574.60464,2174969245.687723,1602362230.1978283,34912936064.11392,35740534034.10228,3.67543e-07,0.00040004,0.07629373709324146,2.98e-05,0.005683315081938293,1.73498134,330.8874367954198,2467.16198151,7.03574,0.019275999999999998,470525.46641277015,0.285152028274,16.37285850599,25.98314659704609,14.58829073,23.151100745194015,0.003285262372881355,190.71527120598302,1390.0458671377612,12.655761639234447,189.109216129409,0.00326256563413209,0.0909813152722746,158.808962563132,189.109216129409,216801294.24676326,2468.896962850001,470856.3538495657,0.0027452894800000004,11402869.28092785,10156138.54892946,1179231.86891583,10418231.02720986,10816684.060333999,6535304.92003733,11111459.82871493,11357428.47128198,11393993.73926479,2841758.54143989,9686140.02944003,11402869.28092785,81.396594,12204457.82397233,12798187.42490036,12799313.56604539,3649759.21973474,12787183.44815139,12799073.65977836,2160058.28828941,12700995.46364367,12799325.57043953,12799110.81366368,12798405.59831197,12790096.66491522,12731940.6533633,12323677.57888461,1436603.12735443,2315549.06281951,3745577.01891965,0.0,12799199.08340612,12798794.34455073,12795059.59847225,3964541.73614301,12465766.55561701,1657422.6884261002,12757950.70246005,2611959.89831364,2697648.32415535,8396287.33578574,4430012.04968813,12799345.11362854,11404274.19332685,5693.0,0.065891203704,19770.0,781741.63106254,149090067.1810998,166.375813163644,31730.408329620324,0.67108864,127.98685198085427,39.814147363189,0.060260830778582006,0.03522949439516094
1888,2021-04-10,36493.0,46164.0,94718.0,179250.0,411.0,73743.0,109711.0,29.0,56812.0,226590.0,189890.0,112965.0,96735.0,47230.0,6.0,59618.0,42.0,76452.0,491.0,0.0,83158.0,809.0,101586.0,49205.0,9.0,124632.0,63303.0,85.0,1618117804.0,266.0,20836.15789473684,2025314197.8550472,1.53804967,1.37041293,2487992106.0650253,2216818241.427151,1617627933.4937167,33549680725.362137,34327395072.752884,3.3232e-07,0.00037758,0.0733761743688871,2.98e-05,0.005791117104170866,1.84185851,357.9335006954251,2376.18940043,6.7744,0.01856,461771.5127375734,0.284588449816,12.958307295421,25.96734883950645,11.54594177,23.137088115590487,0.003257798991817642,194.332788730566,1523.0291770931444,9.714126710394698,190.71527120598302,0.00328526237288136,0.092308965661656,160.540336413943,190.71527120598302,217272150.60061294,2378.031258939999,462129.4462382686,0.002750189508,11405138.11407066,10159951.76059896,1429252.5178586,10421886.142245699,10818979.89600381,6498741.39757058,11113587.79248399,11359177.25341533,11396254.53396678,2818362.75570877,9685523.252577301,11405138.11407066,81.403562,12204941.06253302,12801586.26735664,12802708.07550043,3643511.83989635,12790598.77897862,12802469.34111279,2143821.09270435,12703798.53885261,12802720.11260012,12802504.04446191,12801805.37996118,12793535.8729513,12734471.62320133,12325047.324707301,1433042.81523051,2288095.11426078,3733616.43333298,0.0,12802593.87998211,12802202.2849785,12798504.20666653,3954236.17736086,12471010.26653943,1648957.31556483,12761766.8197685,2609437.45508032,2684686.68148521,8365272.96229939,4414570.11465691,12802739.68339187,11407329.95140966,6184.0,0.071574074074,20907.0,987994.75822862,191999776.61774904,127.285446771862,24735.735835991964,2.12029064,412.04199299051646,39.973755091526996,0.06024413405345496,0.034483809071340465
1889,2021-04-11,48414.0,46473.0,92963.0,176112.0,409.0,72648.0,107759.0,28.0,56730.0,223622.0,186791.0,110910.0,94987.0,47529.0,5.0,59104.0,42.0,75342.0,486.0,0.0,81780.0,822.0,99907.0,49497.0,9.0,122921.0,62749.0,86.0,1618201903.0,308.0,26785.77922077922,2050793725.4430568,1.54235068,1.37424531,2519088319.6929398,2244525414.520316,1633278569.4037628,32007483224.260136,32024221431.02648,2.8229800000000003e-07,0.00049426,0.09722139684870701,2.98e-05,0.005861687423808256,2.3289671000000003,458.1099718299726,2767.39273926,7.887285,0.021609,544348.6985388797,0.28227663282800003,19.967579607523998,25.969629708814267,17.791253899999997,23.139122765739533,0.0032820173840756536,196.700920262022,1533.7912969816473,14.746608223820429,194.332788730566,0.00325779899181765,0.09122800797922802,163.087710818742,194.332788730566,217734280.04685104,2769.721706360001,544806.8085107103,0.002700194238,11407446.35315239,10164529.17054012,1415562.18480526,10425948.80954918,10820488.60809857,6500580.10668385,11115831.3353024,11361465.93358175,11398523.33112533,2832327.75195213,9605327.10159236,11407446.35315239,81.410156,12232748.39933305,12805551.8550084,12806661.39096749,3615030.20795745,12794872.71591199,12806426.67791146,2116660.02758593,12715000.08726964,12806673.47517361,12806460.31259178,12805771.85795697,12797795.1629164,12741018.2787458,12351749.40189115,1331813.5299195,2271170.92852628,3701589.19237622,0.0,12806552.64697343,12806172.02344038,12802563.64611219,3933332.76063389,12496616.67636608,1642145.51082451,12767730.74991008,2593206.68154097,2663263.7143486,8275309.16503066,4377607.761762001,12806693.10716648,11410853.6529998,6233.0,0.072141203704,31646.0,641374.33574278,126158922.07304786,45.793201066982,9007.564791619166,0.67108864,132.00375306538874,40.043590225144,0.060195311306240264,0.03384330081234002
1890,2021-04-12,40782.0,46516.0,92270.0,176086.0,409.0,72267.0,107103.0,30.0,56553.0,223777.0,186811.0,110326.0,94264.0,47553.0,5.0,58891.0,42.0,74936.0,488.0,0.0,81076.0,791.0,98991.0,49403.0,9.0,122413.0,62304.0,84.0,1618291857.0,296.0,24649.152027027027,1992716295.357496,1.48831213,1.32608829,2446389121.8433475,2179736291.0532236,1643733914.6638174,34569434415.53185,33655374874.510616,5.01839e-07,0.00087869,0.16780152462132733,2.98e-05,0.005690841404494821,3.66149062,699.2269269283696,2649.05788205,7.547835000000001,0.020679,505884.84154609044,0.281742272335,27.519102216506,25.023227939222107,24.51956039,22.295732748075913,0.0031877947983635253,190.96783236559799,1475.6675815523795,6.123158222338658,196.700920262022,0.00328201738407566,0.0917289115850125,165.24076461549998,196.700920262022,218279086.85536173,2652.719372670001,506584.0684730189,0.0026696206699999996,11412882.41247329,10177936.07078702,1338372.13574858,10434827.01077396,10827110.52031433,6510732.01768833,11121321.27748972,11366827.853199901,11403830.27572154,2910676.00520766,9615353.00100024,11412882.41247329,81.45541,12248194.04954365,12809334.33838454,12810445.67709411,3609253.04364435,12798807.78738071,12810207.89465648,2140064.94594391,12719929.150205199,12810457.81630204,12810242.29131027,12809550.96403481,12801700.98811181,12745553.27462923,12365135.26608125,1332191.97857326,2272600.9524755003,3697675.08767819,0.0,12810335.42576925,12809940.36860476,12806297.49283836,3911301.5422600997,12502808.8510123,1637216.18402035,12770963.98269296,2581358.29546937,2661548.43585542,8276502.50714011,4371304.03858806,12810477.51099705,11414154.22719064,5623.0,0.065081018519,29817.0,465512.18895917,88897853.66529734,39.854668001289,7610.95955785672,0.16777216,32.039085726494285,40.091570383105,0.060194607814769985,0.03334607577223364
1891,2021-04-13,32534.0,46483.0,91902.0,175177.0,402.0,72089.0,106471.0,29.0,56492.0,223012.0,185941.0,109498.0,93898.0,47523.0,5.0,58797.0,43.0,74754.0,485.0,0.0,81408.0,837.0,99050.0,49578.0,9.0,121703.0,62794.0,179.0,1618378909.0,277.0,20881.93140794224,2108267029.20736,1.55711417,1.38737786,2587706470.6013284,2305628397.610733,1661860456.7325127,35585598009.50978,35064698742.967125,4.16789e-07,0.00058205,0.11754142668827372,2.98e-05,0.006017927180329107,2.41083124,486.8525787376686,2458.04096219,7.00143,0.019181999999999998,496386.2925075676,0.280600821605,26.827996304457997,26.24325043728964,23.90355739,23.382552905919304,0.0031829432326125093,201.943865111715,1575.2140573219692,12.735910477063534,190.96783236559799,0.00318779479836353,0.0891194963607131,160.07706092375602,190.96783236559799,218785670.92383483,2460.451793430001,496873.1450863052,0.002657114777,11414937.80676909,10183658.36797016,1077006.19182278,10439866.68295702,10828818.34444852,6472211.27838683,11123659.41522316,11368817.14532656,11405755.72606825,2919281.45853872,9615211.43076597,11414937.80676909,81.472418,12253278.79733493,12812858.80947283,12813957.08618723,3595615.84760833,12802406.03560873,12813722.06859115,2120154.91800075,12724172.89026315,12813969.27034745,12813754.40519758,12813075.65603351,12805294.54787038,12749445.80778443,12370438.256379401,1332543.13525675,2277299.09135329,3688253.37543365,0.0,12813847.87936446,12813486.39567889,12810136.35942066,3927225.80957166,12518518.84240002,1633612.30733511,12777781.38549748,3052383.5572448,2657429.86410993,8265048.71068867,4359234.49290427,12813989.02199784,11417174.74970217,5493.0,0.063576388889,22292.0,477634.96299082,96455450.53885715,61.916338403485,12503.624690764675,0.65604392,132.48404488784075,40.151150138468,0.06021130170819191,0.034734389726321244
1892,2021-04-14,22946.0,46501.0,92257.0,176290.0,405.0,72241.0,107034.0,28.0,56551.0,224216.0,187085.0,110166.0,94254.0,47546.0,5.0,58914.0,42.0,74898.0,484.0,0.0,81884.0,830.0,99522.0,49663.0,9.0,122619.0,63051.0,181.0,1618462514.0,291.0,13356.268041237112,2161204329.931952,1.57956632,1.40738456,2652315210.0935307,2363197687.920456,1679141409.5121553,33999593516.78412,34339419844.85964,4.36114e-07,0.00048305,0.09995549069830081,2.98e-05,0.006166387791759372,1.69503284,350.7459668190341,2607.26399432,7.424465,0.020340999999999998,539510.0961231082,0.279770232672,25.304095764899,26.656556694552478,22.54580465,23.750839609393765,0.003291353984804209,206.92576482413997,1608.3423015055828,22.541008842726487,201.943865111715,0.00318294323261251,0.0878822382586127,168.929211636096,201.943865111715,219282544.06892106,2608.95902716,539860.842089927,0.0026849171740000004,11417109.95641983,10189235.56331844,1043200.17919869,10444346.22130644,10831828.81775629,6455642.65128325,11125807.03162541,11370903.72651285,11407907.10662702,2979404.11981356,9620423.35923867,11417109.95641983,81.48369100000001,12254526.88574954,12816571.22211093,12817681.69037419,3586014.74338717,12806054.30364129,12817443.4627559,2093701.36209504,12727110.59858325,12817693.911779901,12817476.9063241,12816788.1948733,12808934.27676782,12752998.04537234,12372302.39111138,1332915.60566942,2250976.65378387,3674329.48405613,0.0,12817572.05741556,12817204.99808858,12813953.061878301,3907056.43618154,12523069.24833455,1625659.64123501,12782008.606937801,3044253.91102725,2639515.54231128,8279389.45511395,4342552.42238589,12817713.69721723,11420509.62058237,4942.0,0.057199074073999996,15038.0,506546.99603996,104817624.57493931,88.52159517897499,18317.3987858623,0.67108864,138.86553009679193,40.194914420993,0.06008077952001663,0.032799913711077544
