,time,AdrActCnt,AssetEODCompletionTime,BlkCnt,CapMrktCurUSD,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VtyDayRet180d,VtyDayRet30d
798,2019-12-15,71488.0,1614335630.0,28790.0,1393540.80819979,1382080.0,504.4592,1.38208,19259.84880196765,1382080.0,19259.84880196765,1.959618382544838e-06,0.0139354080819979,10.827974563798803,-25.043894494732818,0.0138481001266748,1.95840622265149e-06,9.763015814844821e-05,0.0124638495867331,0.0138481001266748,100000000.0,1004303.0,11.62387731,75393.0,506698096.95821434,7061044.755484457,7736.86209815,107.81633061186272,6.460762,0.09003335499066492,0.052283710316954266,0.039350235026773005
799,2019-12-16,69689.0,1614335630.0,28791.0,1338140.99913268,1382112.0,504.47087999999997,1.382112,18494.607325932666,1382112.0,18494.607325932666,1.9442953281497717e-06,0.0133814099913268,4.664132134573448,-28.338605440086635,0.0139354080819979,1.9596183825448398e-06,9.792665559320071e-05,0.0125271669643631,0.0139354080819979,100000000.0,1009675.0,11.68605324,72896.0,567860006.3211874,7598767.562261237,9063.82131824,121.28670914749758,8.296854,0.11102360501217973,0.05233259337875814,0.03965367689644452
800,2019-12-17,80303.0,1614335630.0,28789.0,1240339.98215854,1382048.0,504.44752,1.382048,17142.09391662246,1382048.0,17142.09391662246,1.8767546037377159e-06,0.0124033998215854,-11.793346423595455,-33.88725034524535,0.0133814099913268,1.9442953281497797e-06,0.000101083335092633,0.0120246941342116,0.0133814099913268,100000000.0,927210.0,10.73159722,64656.0,619390847.1822582,7682552.323432051,11337.816492799999,140.62747106396353,12.850758,0.15939308948443712,0.052586645809485334,0.04124417052629629
801,2019-12-18,65899.0,1614335630.0,28783.0,1338999.45817729,1381856.0,504.37744000000004,1.381856,18503.044352790366,1381856.0,18503.044352790366,1.8381170880854664e-06,0.0133899945817729,-8.921251318199152,-21.955364843871287,0.0124033998215854,1.87675460373772e-06,0.000102080624439641,0.0111352335866642,0.0124033998215854,100000000.0,901923.0,10.43892361,66810.0,681916705.5685247,9130860.99278297,11826.58228827,158.3578727608266,15.478886,0.20726219967188042,0.052916016145976984,0.04187820825025791
802,2019-12-19,68553.0,1614335630.0,28792.0,1298317.42482179,1382144.0,504.48256,1.382144,17944.61638812888,1382144.0,17944.61638812888,1.8168023626867665e-06,0.0129831742482179,-16.648221719485708,-23.195973551279348,0.0133899945817729,1.8381170880854599e-06,0.000100764772421791,0.0120579470526518,0.0133899945817729,100000000.0,972949.0,11.2609838,74860.0,909075132.492801,11802680.849875808,14003.10645729,181.80477115134127,11.365787,0.14756399308912976,0.05228393807914679,0.042066612991718544
803,2019-12-20,102247.0,1614335630.0,28792.0,1340818.05802032,1382144.0,504.48256,1.382144,18532.036339844366,1382144.0,18532.036339844366,1.8663379080001983e-06,0.0134081805802032,-21.630609027437266,-18.681636619772558,0.0129831742482179,1.8168023626867699e-06,0.000101554065942102,0.0116825658199533,0.0129831742482179,100000000.0,1031704.0,11.94101852,97630.0,575154657.6705482,7711777.511591661,6727.55249759,90.20423875048377,1.0,0.0134081805802032,0.05235393792364223,0.04260155223082114
804,2019-12-21,62614.0,1614335630.0,28792.0,1349877.08935871,1382144.0,504.48256,1.382144,18657.24519794605,1382144.0,18657.24519794605,1.8905052523385291e-06,0.0134987708935871,-31.673779208557555,-12.108052636414545,0.0134081805802032,1.8663379080001998e-06,0.000104573665919004,0.0121246748305972,0.0134081805802032,100000000.0,903303.0,10.45489583,70558.0,515553064.8559367,6959332.705976939,9112.92189232,123.0132447955819,6.258789,0.0844859587823031,0.05229825701144886,0.0408977354977497
805,2019-12-22,66434.0,1614335630.0,28792.0,1491603.41889675,1382144.0,504.48256,1.382144,20616.10715807629,1382144.0,20616.10715807629,1.9942815449042264e-06,0.0149160341889675,-28.25717854604049,3.3341924610439118,0.0134987708935871,1.89050525233854e-06,0.00010620829683439399,0.0122030446948005,0.0134987708935871,100000000.0,888936.0,10.28861111,68957.0,1449935863.5759304,21627292.912908696,23503.63989648,350.5810962610762,15.0,0.2237405128345125,0.05288659890390003,0.043607344254934434
806,2019-12-23,73353.0,1614335630.0,28791.0,1378011.3114616,1382112.0,504.47087999999997,1.382112,19045.659697068146,1382112.0,19045.659697068146,1.8820794914384998e-06,0.013780113114616,-33.25709329794935,-8.452722984497104,0.0149160341889675,1.9942815449042196e-06,0.000112948517692055,0.0134740296460546,0.0149160341889675,100000000.0,1158506.0,13.40863426,102566.0,1639875444.8357642,22597669.123718057,18737.72502303,258.20797032792416,3.0,0.041340339343848,0.053073924608058126,0.04527339786386594
807,2019-12-24,71025.0,1614335630.0,28791.0,1348561.09565224,1382112.0,504.47087999999997,1.382112,18638.62473034109,1382112.0,18638.62473034109,1.8637786431999095e-06,0.0134856109565224,-35.669734482291105,-2.4061905534938486,0.013780113114616,1.8820794914384998e-06,0.000107813538658028,0.0124322643800834,0.013780113114616,100000000.0,1597551.0,18.49017361,79188.0,920005862.2974716,12406841.136663618,14125.66552742,190.49322980474597,10.0,0.134856109565224,0.052313493405328114,0.04268038016731236
808,2019-12-25,65578.0,1614335630.0,28789.0,1319174.83802697,1382048.0,504.44752,1.382048,18231.629465454975,1382048.0,18231.629465454975,1.8344359455517662e-06,0.0131917483802697,-32.5942497523127,-7.6345761606432,0.0134856109565224,1.86377864319991e-06,0.000105639874723342,0.0121744313194687,0.0134856109565224,100000000.0,1412988.0,16.35402778,75583.0,733684223.0499266,9678577.6610483,11639.581436700002,153.5464295646044,11.5885,0.1528725761047554,0.05219865492205763,0.042357595113505134
809,2019-12-26,65378.0,1614335630.0,28781.0,1333109.90819093,1381792.0,504.35407999999995,1.381792,18420.806062589614,1381792.0,18420.806062589614,1.8529209980912973e-06,0.0133310990819093,-33.77055482890633,-13.09632992465791,0.0131917483802697,1.83443594555177e-06,0.000105634531606889,0.0119004851678853,0.0131917483802697,100000000.0,1300348.0,15.05032407,82748.0,641379939.4720234,8550299.522250531,8686.57979707,115.80165595765179,7.0,0.0933176935733651,0.05207134654284365,0.0400809834909976
810,2019-12-27,67486.0,1614335630.0,28782.0,1320694.58033617,1381824.0,504.36575999999997,1.381824,18249.67467778448,1381824.0,18249.67467778448,1.8248820305126037e-06,0.0132069458033617,-26.9790745791132,-18.06880060300036,0.0133310990819093,1.8529209980913002e-06,0.00010638629097986601,0.0120244459587485,0.0133310990819093,100000000.0,1153723.0,13.35327546,75077.0,540422500.8551563,7137330.679711242,8663.97245498,114.42461465473949,10.0,0.132069458033617,0.05168535202888101,0.03875295818612533
811,2019-12-28,64651.0,1614335630.0,28737.0,1349814.94009039,1380384.0,503.84015999999997,1.380384,18632.62946261733,1380384.0,18632.62946261733,1.8473803676131347e-06,0.0134981494009039,-34.021110964403704,-14.903422776967444,0.0132069458033617,1.8248820305126e-06,0.000104666153545901,0.0118262965995671,0.0132069458033617,100000000.0,1731063.0,20.03545139,76744.0,467236755.7829064,6306831.53515132,7218.29973957,97.43368830522157,6.327255999999999,0.0854062467857656,0.05170750530996852,0.03905091192600305
812,2019-12-29,67075.0,1614335630.0,28779.0,1372295.85902132,1381728.0,504.33072000000004,1.381728,18961.396126938107,1381728.0,18961.396126938107,1.8565667063536404e-06,0.0137229585902132,-31.40589111192666,-15.002719338959173,0.0134981494009039,1.8473803676131402e-06,0.000105423322697554,0.0120919137855555,0.0134981494009039,100000000.0,1368434.0,15.83835648,69791.0,555709014.6581709,7625971.796362261,9316.35026761,127.84788893433364,10.77029,0.14780024367458736,0.051722492313983036,0.03902770784939941
813,2019-12-30,64273.0,1614335630.0,28789.0,1323246.74221824,1382048.0,504.44752,1.382048,18287.90513589234,1382048.0,18287.90513589234,1.8303694261041011e-06,0.0132324674221824,-32.86239164373063,-14.556962322219373,0.0137229585902132,1.85656670635363e-06,0.000101923913202045,0.0122729051899731,0.0137229585902132,100000000.0,1368403.0,15.83799769,74731.0,588781137.0845923,7791027.21526738,8951.29699658,118.44774589352399,7.782877,0.10298666635335268,0.051715864210915376,0.03887173879362525
814,2019-12-31,68720.0,1614335630.0,28785.0,1323619.29856141,1381920.0,504.4008,1.38192,18291.359810679838,1381920.0,18291.359810679838,1.8467229564852108e-06,0.0132361929856141,-28.754138884883123,-17.127101258260296,0.0132324674221824,1.8303694261041e-06,0.000100790027793931,0.011835830848171,0.0132324674221824,100000000.0,1430261.0,16.55394676,72924.0,610439131.06997,8079890.144812703,9420.77344164,124.69517534729495,12.0,0.1588343158273692,0.05161240787794246,0.03829015104140504
815,2020-01-01,67967.0,1614335630.0,28787.0,1316049.72071005,1381984.0,504.42416,1.381984,18187.596572257575,1381984.0,18187.596572257575,1.8353329870943334e-06,0.0131604972071005,-31.988418767723946,-13.812188009019609,0.0132361929856141,1.84672295648521e-06,0.000102996512117779,0.0118323671951037,0.0132361929856141,100000000.0,1319905.0,15.27667824,68786.0,429632263.46689487,5654174.2034363365,7019.9030949,92.38541507454761,10.970189999999999,0.14437315485636185,0.051579896882593713,0.03758655320050406
