,time,AssetEODCompletionTime,BlkCnt,CapMrktCurUSD,CapMrktFFUSD,DiffLast,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,RevAllTimeUSD,RevNtv,RevUSD,SplyCur,SplyExpFut10yr,TxCnt,TxCntSec,TxTfrCnt,VtyDayRet180d,VtyDayRet30d
300,2019-11-11,1614335727.0,1432.0,32774706.39539943,32774706.39539943,1976508190.0,1933792274.4189944,0.007760291595197256,0.009842144108297706,0.008,0.01014615905865072,18.097,22.951880060550256,85920.0,121.35556499999998,0.33248099999999997,108969.7482899087,85920.0,108969.7482899087,0.00014555716936660344,1.26826988233134,,-4.894873019163279,1.1926988327636998,0.000131893535957855,0.00630907018095066,1.0827581413079,1.1926988327636998,71885654.68882206,85938.097,108992.70016996928,25842060.0,341202060.0,2332.0,0.02699074,4860.0,0.07506205889778274,0.07824435155751057
301,2019-11-12,1614335727.0,1444.0,36579096.86725256,36579096.86725256,2126915737.0,2089207372.297784,0.007967845659163987,0.011240694604429738,0.008,0.011286056568128,19.824,27.966848175821184,86640.0,121.963655,0.33414699999999997,122227.99263282625,86640.0,122227.99263282625,0.00016051471039789288,1.410757071016,,1.6488989113452166,1.16004563939133,0.000133136457751001,0.00629027710012371,1.0523509618579698,1.16004563939133,72007910.64830306,86659.82400000001,122255.95948100206,25928700.0,341288700.0,2488.0,0.028796299999999997,5485.0,0.07530982919283283,0.08037845780281852
302,2019-11-13,1614335727.0,1437.0,43885115.61353335,43885115.61353335,2227060894.0,2207262656.966597,0.008198708541238626,0.013830573848157918,0.008,0.01349536823131752,27.933000000000003,47.120765100674035,86220.0,120.970125,0.331425,145446.33111302456,86220.0,145446.33111302456,0.00019242307433877848,1.68692102891469,,27.707700614286452,1.38411115910683,0.0001574829617565,0.007418407877527441,1.2580066275735,1.38411115910683,72153404.10018119,86247.933,145493.45187812526,26014920.0,341374920.0,3407.0,0.03943287,7683.0,0.07644917250419281,0.086081875299723
303,2019-11-14,1614335727.0,1446.0,42123755.38680493,42123755.38680493,2576884909.0,2129946699.6929462,0.008068343972962824,0.013020960639073337,0.008,0.01291066487269936,21.486,34.6748181818523,86760.0,121.32308,0.332392,140016.16054442458,86760.0,140016.16054442458,0.0001866687979350914,1.6138331090874198,,41.043657871189296,1.66435957148112,0.000189849542486061,0.00885140597357229,1.5137172560019698,1.66435957148112,72293454.9355438,86781.48599999999,140050.8353626064,26101680.0,341461680.0,2663.0,0.03082176,5917.0,0.0764435784670814,0.08184929386585857
304,2019-11-15,1614335727.0,1420.0,40358940.74222836,40358940.74222836,2188649035.0,2298909007.235916,0.007963650730936389,0.012273493747314122,0.008,0.01232951485392024,20.156,31.064212674452044,85200.0,118.75421000000001,0.325354,131309.33319425056,85200.0,131309.33319425056,0.00018204719900642949,1.54118935674003,,34.793135620180045,1.5492224120103402,0.00017919540983243502,0.0083847597689056,1.40678798433552,1.5492224120103402,72424795.33295073,85220.156,131340.39740692498,26186880.0,341546880.0,2531.0,0.02929398,5480.0,0.07628590714815582,0.08249794503652716
305,2019-11-16,1614335727.0,1440.0,40623236.11505701,40623236.11505701,2335754917.0,2256295023.477778,0.007879331941544884,0.012182870273155406,0.008,0.01236944488546752,18.871,29.1779743042072,86400.0,120.030615,0.328851,133590.0047630492,86400.0,133590.0047630492,0.0001823822959312788,1.54618061068344,,42.23573416041854,1.43444031090905,0.00016943786926693202,0.00796956493096091,1.29959240429196,1.43444031090905,72558414.51568808,86418.871,133619.18273735343,26273280.0,341633280.0,2395.0,0.02771991,5076.0,0.0753174755191076,0.08171954581690041
306,2019-11-17,1614335727.0,1431.0,42602858.52335588,42602858.52335588,2275130097.0,2288507319.2907057,0.008079855537720707,0.013059035399586968,0.008,0.01292996919424712,20.135,32.54311621577072,85860.0,118.891815,0.325731,138770.89437725718,85860.0,138770.89437725718,0.0001900312183219439,1.61624614928089,,56.2086579359999,1.4358637662277498,0.000169369689750149,0.00787693496072347,1.30085662308048,1.4358637662277498,72697217.95318155,85880.135,138803.43749347297,26359140.0,341719140.0,2492.0,0.02884259,5553.0,0.0753438429372279,0.08109077479512211
307,2019-11-18,1614335727.0,1431.0,36264934.16746105,36264934.16746105,2201618910.0,2073356548.786164,0.007603788687299893,0.010427335835440185,0.008,0.01097067397767776,28.499000000000002,39.08165471122981,85860.0,118.50601,0.32467399999999996,117742.7584654266,85860.0,117742.7584654266,0.00016757238932358306,1.37133424720972,,31.08888960741312,1.56453665495744,0.000183951440059537,0.00851078880693448,1.4166620464291,1.56453665495744,72814999.79330169,85888.49900000001,117781.84012013777,26445000.0,341805000.0,3748.0,0.04337963,7964.0,0.07625797792988542,0.08744753105655348
308,2019-11-19,1614335727.0,1448.0,37385295.38710767,37385295.38710767,2491415000.0,2320387534.9378448,0.0077285496183206095,0.010890073013854812,0.008,0.011272565799968241,25.311,35.664989120374514,86880.0,119.521075,0.327455,122420.06458765508,86880.0,122420.06458765508,0.0001735988488392414,1.40907072499603,,27.496211667401138,1.32286194369311,0.000161649238397525,0.007429205445260359,1.19616379415322,1.32286194369311,72937455.52287847,86905.311,122455.72957677547,26531880.0,341891880.0,3275.0,0.03790509,6980.0,0.0762458306150916,0.08709088708983308
309,2019-11-20,1614335728.0,1422.0,35483662.949469216,35483662.949469216,2146526133.0,2222855679.2475386,0.007830550918196994,0.010438987928480786,0.008,0.01066488224139856,18.762,25.01181507663997,85320.0,116.998925,0.32054499999999997,113740.96910451565,85320.0,113740.96910451565,0.0001650592779076561,1.33311028017482,,20.433146328879005,1.26951165506612,0.00015640503914954198,0.0072363565345608,1.14723772259585,1.26951165506612,73051221.50379807,85338.76199999999,113765.9809195923,26617200.0,341977200.0,2396.0,0.02773148,5044.0,0.07634261052528221,0.08785625960582445
