,time,AssetEODCompletionTime,BlkCnt,BlkSizeMeanByte,CapMrktCurUSD,CapMrktFFUSD,DiffLast,DiffMean,FeeByteMeanNtv,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,RevAllTimeUSD,RevHashNtv,RevHashRateNtv,RevHashRateUSD,RevHashUSD,RevNtv,RevUSD,SplyCur,SplyExpFut10yr,TxCnt,TxCntSec,TxTfrCnt,VtyDayRet180d,VtyDayRet30d
869,2016-09-03,1614335471.0,792.0,22699.2386363636,137323571.16822493,137323571.16822493,3609764820.0,3122424166.21591,1.228e-05,0.0604733077549296,0.6481429571700418,0.02925856,0.3135884294239096,220.848519921003,2367.0180795849947,26020201.385132603,8507.85226871106,24.236773136957897,0.0664021181834463,91185.76002085362,8507.85226871106,91185.76002085362,0.017851919161016926,10.717835376174001,2194.427647416892,477.0828537792599,10.0925044195994,0.017495988519287,0.831213917749265,8.99979357321295,10.0925044195994,13343036.630445352,3.883e-09,0.000335458618,0.00359539024,4.1613e-08,8728.700788632059,93552.77810043859,12812621.798007682,18801309.720241435,3652.0,0.0422685185185185,36624.0,0.08312943694758654,0.14899123870590728
870,2016-09-04,1614335471.0,772.0,9629.67357512953,174374732.47895104,174374732.47895104,4751839063.0,4133296451.1463704,1.853e-05,0.0509186645825608,0.6925349573975114,0.03,0.40802422632743107,137.73498769582702,1873.307059760268,34444137.0928864,8288.42454014688,23.596413239312202,0.064647707504965,112729.26701555745,8288.42454014688,112729.26701555745,0.022276725115137282,13.600807544247699,2711.084022423291,650.1327945469263,10.717835376174001,0.0178519191610169,0.9010777295958871,9.51659236039946,10.717835376174001,13457639.204520667,2.8310000000000003e-09,0.000244632621,0.003327201194,3.8509000000000004e-08,8426.159527842703,114602.5740753177,12820910.222547827,18801772.832330033,2705.0,0.0313078703703704,24354.0,0.08442226693668932,0.15165573572363292
871,2016-09-05,1614335471.0,709.0,10000.8730606488,177710391.240117,177710391.240117,4479356661.0,4391499659.58251,1.977e-05,0.0518130775432409,0.717754645790187,0.03,0.41558309976347996,140.20618783201002,1942.2440715082473,36595830.4965209,7599.262649496891,21.6216145006319,0.0592373000017312,105270.83759315845,7599.262649496891,105270.83759315845,0.02280190149415544,13.852769992116,2652.0297896482707,630.8909328393212,13.600807544247699,0.0222767251151373,1.1573474302935902,12.073185343712499,13.600807544247699,13564852.286185335,2.448e-09,0.00021148498999999998,0.0029296529200000003,3.3908e-08,7739.468837328904,107213.08166466675,12828509.485197328,18802198.037748605,2706.0,0.0313194444444444,25185.0,0.084400334324091,0.15186467961517766
872,2016-09-06,1614335471.0,725.0,9044.348965517242,159595674.07236046,159595674.07236046,4153482433.0,4163923414.26759,1.805e-05,0.0468547026529422,0.5825529919344015,0.02659854,0.3307044582666637,118.354978901332,1471.5288576262985,34699361.7855632,7761.13204869948,22.0688179787151,0.0604625150101783,96495.55839159609,7761.13204869948,96495.55839159609,0.020282663902396216,12.4331808537861,2388.44467989084,555.3332991689548,13.852769992116,0.0228019014941555,1.17655026698519,12.400961903127,13.852769992116,13662819.37343456,2.6279999999999996e-09,0.000227078731,0.0028233109259999997,3.2677e-08,7879.487027600808,97967.08724922234,12836270.617246024,18802632.894383907,2526.0,0.0292361111111111,22307.0,0.08430246685851903,0.15476175563993033
873,2016-09-07,1614335471.0,719.0,9311.197496522951,152271084.77153736,152271084.77153736,4639458131.0,4432690826.45341,1.804e-05,0.0532826885540547,0.6316910326712488,0.03,0.355663940660805,120.791854952042,1432.043571065721,36939090.2204451,7686.896857787959,21.844648349324398,0.0598483516419846,91131.73426313419,7686.896857787959,91131.73426313419,0.01925651848743417,11.8554646886935,2200.1331273922005,519.9488078947961,12.4331808537861,0.0202826639023963,1.06031901656141,11.025076541445598,12.4331808537861,13755383.151268758,2.446e-09,0.000211366568,0.002505848879,2.9003000000000002e-08,7807.688712740002,92563.77783419992,12843957.514103815,18803064.184969764,2267.0,0.0262384259259259,21386.0,0.08441941550522647,0.15576727972284884
874,2016-09-08,1614335472.0,698.0,6962.12034383954,163981953.33319873,163981953.33319873,4037127154.0,4140538911.40974,1.9e-05,0.0485628630137691,0.6196543855685827,0.03,0.38279521456110904,92.318002589175,1177.9629869658752,34504490.9284145,7453.40448964498,21.168824621306,0.0579967797843999,95104.25236081278,7453.40448964498,95104.25236081278,0.020236043144360092,12.7598404853703,2383.277255261473,523.6602808390953,11.8554646886935,0.0192565184874343,1.02322237504063,10.538825153116301,11.8554646886935,13851665.366616534,2.531e-09,0.00021868812699999998,0.002790425616,3.2296999999999995e-08,7545.722492234159,96282.21534777866,12851410.91859346,18803482.94034834,1901.0,0.0220023148148148,17835.0,0.08444453952956021,0.1557799832065736
875,2016-09-09,1614335472.0,764.0,6641.99869109948,158089380.30251178,158089380.30251178,4521727517.0,4115201298.62565,1.867e-05,0.0489878905911443,0.6022341691378531,0.03,0.36880594073592604,94.742580403273,1164.7208831126065,34293344.1552138,8147.14495527673,23.12449536742,0.0633547818285478,100157.18198475962,8147.14495527673,100157.18198475962,0.019733495638807743,12.293531357864198,2363.070894979463,513.6499600350161,12.7598404853703,0.020236043144360002,1.11830288175161,11.252785097034302,12.7598404853703,13952987.269484408,2.782e-09,0.000240334903,0.0029545646639999998,3.4196e-08,8241.88753568,101321.90286787214,12859558.063548734,18803941.31080532,1934.0,0.0223842592592593,17533.0,0.08445327119943767,0.1561015955394885
876,2016-09-10,1614335472.0,738.0,5240.0487804878,157691122.80570337,157691122.80570337,4844097253.0,4591267634.73171,1.979e-05,0.0481232761445553,0.5897542154229151,0.028008105,0.3432413441707559,76.516009069843,937.709202522436,38260563.6227642,7858.9889635893005,22.2929820336399,0.0610766631058628,96312.47582389192,7858.9889635893005,96312.47582389192,0.01961587872647568,12.2550720289986,2370.9342102929604,519.7880915944954,12.293531357864198,0.0197334956388077,1.0543036611871301,10.9498462615938,12.293531357864198,14050237.454510825,2.401e-09,0.00020740690200000001,0.002541786524,2.9419e-08,7935.504972659145,97250.18502641443,12867417.052512325,18804384.1029656,1590.0,0.0184027777777778,15309.0,0.08404306377549317,0.15595036639122126
877,2016-09-11,1614335472.0,663.0,7425.79487179487,138461933.5846275,138461933.5846275,4253572888.0,4580802236.66968,1.819e-05,0.0526343114837613,0.566069934584574,0.03,0.322643111666361,89.530963833878,962.884958728361,38173351.9722474,7049.67973965692,19.9863276552557,0.0547570620691938,75817.68691514034,7049.67973965692,75817.68691514034,0.017681593364406875,10.754770388878699,2204.6928419527712,453.51311656151535,12.2550720289986,0.0196158787264757,1.00854130955219,10.9081697161289,12.2550720289986,14127018.02638469,2.165e-09,0.000187020797,0.002011365728,2.3280000000000004e-08,7139.2107034907995,76780.57187386874,12874466.732251985,18804781.82792128,1701.0,0.0196875,16173.0,0.08472236630291087,0.15924064583020686
878,2016-09-12,1614335472.0,706.0,7083.143059490079,129685087.7864847,129685087.7864847,4378305519.0,4208313023.6515603,1.804e-05,0.0483783058310472,0.4870332235999355,0.02699728,0.2717865390480841,90.22554037490299,908.3169620138794,35069275.1970963,7498.05915694422,21.245141068153103,0.0582058659401455,75484.32834136127,7498.05915694422,75484.32834136127,0.0165658386592636,10.0671822882929,2075.2509636880736,407.86546750943586,10.754770388878699,0.0176815933644068,0.9221615524362679,9.544585301828329,10.754770388878699,14203410.671688067,2.504e-09,0.000216379855,0.002178335448,2.5211999999999998e-08,7588.284697319121,76392.64530337512,12881964.791408928,18805205.401878066,1865.0,0.0215856481481481,16932.0,0.08492438611854787,0.16069957823609926
879,2016-09-13,1614335472.0,705.0,6078.41985815603,138645001.5940242,138645001.5940242,3952621322.0,3962726210.4468102,1.872e-05,0.0505859120866992,0.5441263062563189,0.03,0.322694373083799,80.229256569505,862.9843217225226,33022718.4203901,7476.099897240071,21.1706348281807,0.0580017392552895,80416.51231505795,7476.099897240071,80416.51231505795,0.01767139788866167,10.7564791027933,2138.117757182659,439.4709930432548,10.0671822882929,0.0165658386592636,0.8457738561053109,8.98586778828724,10.0671822882929,14284690.168324847,2.648e-09,0.00022882214199999997,0.002461320585,2.8488000000000003e-08,7556.329153809573,81279.49663678046,12889440.891306167,18805628.30393737,1586.0,0.0183564814814815,15307.0,0.08467264075386928,0.16045152258560538
880,2016-09-14,1614335472.0,747.0,5683.81258366801,134676552.21745595,134676552.21745595,4251294001.0,4014358790.7483296,1.784e-05,0.0537078652786929,0.560827491516956,0.03,0.313265564702745,75.728090042957,790.7667630389083,33452989.9229027,7912.095312327041,22.391530975353604,0.0613466602064481,82619.56686660237,7912.095312327041,82619.56686660237,0.01713482316247817,10.4421854900915,1975.6331180040934,379.1263022713774,10.7564791027933,0.0176713978886616,0.9011875718217701,9.633700765928609,10.7564791027933,14368100.501954487,2.764e-09,0.00023877756300000002,0.002493359602,2.8858000000000003e-08,7987.82340237,83410.33362964133,12897352.986618493,18806076.489142306,1410.0,0.0163194444444444,13823.0,0.0841390670028865,0.1610760647824518
881,2016-09-15,1614335472.0,752.0,6296.9414893617,122899050.72042748,122899050.72042748,4349198265.0,4055179922.53191,1.782e-05,0.0557583700318824,0.5309948549450382,0.03,0.2856942489395319,84.362413858238,803.395215531842,33793166.0210993,7952.37146445185,22.4916459083003,0.0616209476939735,75731.55976082456,7952.37146445185,75731.55976082456,0.015687050112799538,9.52314163131773,1839.556033944684,330.97359531162215,10.4421854900915,0.0171348231624781,0.875880259226718,9.32896742038546,10.4421854900915,14444635.456930844,2.753e-09,0.000237821276,0.002264805699,2.6213e-08,8036.733878310091,76534.95497635643,12905305.358082948,18806527.600167446,1513.0,0.0175115740740741,14278.0,0.08443724732581033,0.16309575669030033
882,2016-09-16,1614335473.0,668.0,7205.8173652694595,115521391.63330701,115521391.63330701,3946214563.0,4300874623.57335,1.731e-05,0.0552828923518222,0.4945925187002912,0.03,0.2683972370074386,83.311318774196,745.3509256813384,35840621.863111295,7054.6484515458,19.9417200535853,0.0546348494618775,63114.938415123266,7054.6484515458,63114.938415123266,0.014719446861484528,8.946574566914618,1713.5682274564265,296.0966736956948,9.52314163131773,0.0156870501127995,0.7951163759684878,8.49983249340274,9.52314163131773,14508495.74627165,2.3050000000000002e-09,0.000199158368,0.0017817851930000002,2.0623e-08,7137.95977032,63860.289340804644,12912360.006534493,18806928.328626797,1507.0,0.0174421296296296,14518.0,0.08332609274565317,0.16429654719111966
883,2016-09-17,1614335473.0,702.0,12540.735042735,124917434.20562539,124917434.20562539,3808688371.0,3841159506.52991,1.311e-05,0.0895251236431823,0.8655923559496616,0.035,0.33840481001720785,115.397884376062,1115.7485468191137,32009662.554415997,7403.743202304341,20.916530063455202,0.0573055618176855,71584.63747977126,7403.743202304341,71584.63747977126,0.015918676579193443,9.66870885763451,1847.1045265309253,342.52762842140135,8.946574566914618,0.0147194468614845,0.709676450946111,8.01644277820333,8.946574566914618,14581196.13229824,2.719e-09,0.000234902229,0.002271201263,2.6287e-08,7519.141086680403,72700.38602659038,12919763.749736795,18807349.43659754,1289.0,0.0149189814814815,12902.0,0.08345907213355022,0.1637015676493379
884,2016-09-18,1614335473.0,741.0,5129.5344129554705,122494448.8475492,122494448.8475492,4061593105.0,3888430249.98111,1.757e-05,0.0579084686013166,0.5487084457276237,0.03139939,0.29752315852648487,66.768464297318,632.6608379239498,32403585.416509196,7804.615859396609,22.035735631929803,0.0603718784436432,73952.19975845313,7804.615859396609,73952.19975845313,0.015494563286674453,9.47544390277916,1816.133728536187,311.76200412216235,9.66870885763451,0.0159186765791935,0.754791789342815,8.64875247418288,9.66870885763451,14655780.992894618,2.8120000000000002e-09,0.000242917079,0.002301747157,2.6641e-08,7871.384323693928,74584.86059637711,12927568.36559619,18807793.95646928,1153.0,0.0133449074074074,11709.0,0.08327239641070691,0.16419472107501615
885,2016-09-19,1614335473.0,675.0,7780.67259259259,137207169.2014264,137207169.2014264,3640649507.0,3867149121.10815,1.685e-05,0.0669002874931565,0.7096589729490738,0.035,0.3712699150322539,88.50908035344601,938.8788212116239,32226242.675901197,7093.7969243896305,20.0178083112582,0.0548433104418033,75248.95375354865,7093.7969243896305,75248.95375354865,0.017421927668614837,10.6077118580644,2088.981799427326,332.8795394475166,9.47544390277916,0.0154945632866745,0.7614817576989041,8.45117705704681,9.47544390277916,14731968.825469378,2.58e-09,0.00022287134399999998,0.002364154994,2.7362999999999998e-08,7182.306004743071,76187.83257476024,12934662.16252058,18808198.5365847,1323.0,0.0153125,13896.0,0.08352580814343241,0.16461287161752952
886,2016-09-20,1614335473.0,717.0,10932.953974895401,142931081.97619814,142931081.97619814,3543109656.0,3556044373.2580204,1.545e-05,0.0738289660015976,0.8153533730700883,0.03716773,0.41047349930652616,121.07950424261999,1337.179531834944,29633703.1104835,7522.58868568742,21.2154665001208,0.0581245657537556,83078.07072580965,7522.58868568742,83078.07072580965,0.01815306856224426,11.043814064149899,2201.3726228264186,334.92221955993216,10.6077118580644,0.0174219276686148,0.814237365327417,9.476786185572509,10.6077118580644,14816384.075727025,2.985e-09,0.00025793834,0.0028486230680000004,3.297e-08,7643.66818993004,84415.25025764457,12942184.75120627,18808628.141188666,1640.0,0.0189814814814815,16226.0,0.0830144549136289,0.1646020371611425
887,2016-09-21,1614335473.0,727.0,10907.524071526801,127924993.68863958,127924993.68863958,3677447776.0,3598464253.99175,1.616e-05,0.0818159884855262,0.8082215483726857,0.031000685,0.3062411405778757,128.12383796833402,1265.6749447516254,29987202.116597902,7618.22263691167,21.4725372122595,0.0588288690746835,75256.82705088683,7618.22263691167,75256.82705088683,0.016548451977206304,9.87852818664735,2020.2841861259933,141.61729886334257,11.043814064149899,0.0181530685622443,0.7504362834290859,9.88185873951562,11.043814064149899,14892906.57772266,2.99e-09,0.000258321748,0.002551838671,2.9535e-08,7746.34647488,76522.50199563843,12949802.97384318,18809063.806076493,1566.0,0.018125,15342.0,0.08341171694829498,0.1459069446359373
888,2016-09-22,1614335473.0,734.0,5781.16076294278,131410668.36717598,131410668.36717598,3872747586.0,3606930919.6171703,1.643e-05,0.0540810489030869,0.5484724071782143,0.03,0.304250241980925,69.710472036079,706.980932852718,30057757.663476396,7688.942506533929,21.659006488313498,0.0593397438035987,77978.75393967895,7688.942506533929,77978.75393967895,0.017028669514903602,10.1416747326975,2105.2716735425947,117.64896503474708,9.87852818664735,0.0165484519772063,0.717374199800467,8.84880575657041,9.87852818664735,14971592.312595192,2.988e-09,0.00025812481,0.002617817861,3.0299e-08,7758.652978570006,78685.73487253163,12957491.916349718,18809504.12788854,1289.0,0.0149189814814815,13046.0,0.08336020310096673,0.14464574136248545
889,2016-09-23,1614335473.0,723.0,5951.331950207471,139147443.9795465,139147443.9795465,4007963034.0,3829959294.19502,1.674e-05,0.0515190206839492,0.5529278376549726,0.03,0.32197496981570395,72.023590916161,772.9931170416517,31916327.4516252,7563.47840908384,21.2931571463367,0.0583374168392788,81175.02441554994,7563.47840908384,81175.02441554994,0.017816860856516663,10.732498993856801,2212.7976383796936,140.70446677358117,10.1416747326975,0.0170286695149036,0.768502151259514,9.05248674214443,10.1416747326975,15053540.330127785,2.769e-09,0.00023923498100000002,0.002567589196,2.9716999999999997e-08,7635.5019999999995,81948.0175325916,12965055.3947588,18809937.86693136,1398.0,0.0161805555555556,13904.0,0.08299223495416536,0.14413304376724348
890,2016-09-24,1614335473.0,714.0,5683.58963585434,138980489.71758097,138980489.71758097,3785456471.0,3683359462.1624703,1.683e-05,0.0547166500506514,0.5862045225903167,0.03,0.32140373472114897,68.286379263213,731.583244192716,30694662.1846872,7459.36193756452,20.9879669306648,0.0575012792620955,79915.55951233412,7459.36193756452,79915.55951233412,0.017776144880186966,10.7134578240383,2264.9061762323918,158.78463195987518,10.732498993856801,0.0178168608565167,0.802758303578188,9.58024291922374,10.732498993856801,15134187.47288431,2.838e-09,0.000245242911,0.002627399587,3.0410000000000006e-08,7527.648316827729,80647.14275652678,12972514.756696368,18810366.221816227,1248.0,0.0144444444444444,12152.0,0.08295236877275923,0.14294160561354302
