,time,AdrActCnt,AssetEODCompletionTime,NVTAdj,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValMeanNtv,TxTfrValMedNtv,VelCur1yr
136,2021-05-02,138,1635496596,306.457696314688,258317.7841902443,126,0.001458333333,190,842.9149840145941,5.6070576527035785,2.0003940995478438,2.103925395352
137,2021-05-03,154,1635496876,174.628870059996,259413.1131140536,117,0.0013541666670000001,170,1485.5110327686843,13.80268762718129,3.070051985,2.1040871703560002
138,2021-05-04,148,1635497172,198.74964556404498,259980.36040029538,123,0.0014236111110000002,186,1308.0796177647474,8.712150130390954,3.235808082950836,2.105729302809
139,2021-05-05,148,1635497454,21.972764848737,272809.8663731574,107,0.001238425926,130,12415.81877616276,98.19020337902872,3.380909595,2.053492408236
140,2021-05-06,110,1635497746,128.23824191437,275159.74459364277,86,0.00099537037,110,2145.6918036772395,20.93065496393764,4.60029777,2.044322880027
141,2021-05-07,120,1635498071,5.612822577924,308990.1537915279,159,0.0018402777780000001,190,55050.76091427327,290.9102926825524,4.139759010497685,1.999378651922
142,2021-05-08,151,1635498404,17.768801517577,332648.7612636113,177,0.002048611111,238,18720.94530036587,80.21608796650898,5.669397916253883,1.914571224199
143,2021-05-09,114,1635498681,282.236578212672,333873.9484476326,80,0.0009259259260000001,96,1182.9577532507185,13.872467632353677,4.168792937474219,1.911534295925
144,2021-05-10,80,1635498995,126.15957065843,335553.0270640445,47,0.0005439814809999999,62,2659.750864027072,46.83377328629436,7.521865761447457,1.9106225997330002
145,2021-05-11,55,1635499282,674.992662660458,335966.2309219679,37,0.000428240741,52,497.7331599395013,14.50267874336934,10.22094512870799,1.9105174185229998
146,2021-05-12,82,1635499598,20.408580395792,336743.4065220185,54,0.000625,73,16500.08966774797,240.88698456777604,7.997869365262519,1.958328131489
147,2021-05-13,112,1635499919,21.358702361767,339696.9977932447,74,0.0008564814810000001,100,15904.38370456961,162.67974293310044,9.129450736669874,1.9891905573739999
148,2021-05-14,107,1635500242,165.767271856008,341461.15668122214,65,0.0007523148149999999,80,2059.882827641807,34.48899083064124,5.220136096305111,1.98699373668
149,2021-05-15,115,1635500569,194.02108799216302,344579.2411180216,83,0.0009606481479999999,100,1775.9886035271616,18.730812767224936,2.5678318048975672,1.974449356596
150,2021-05-16,129,1635500906,287.89083582208804,346799.12775890087,83,0.0009606481479999999,123,1204.6202400593863,13.848504992982866,4.056857102501357,1.966722440865
151,2021-05-17,119,1635501212,225.368879165489,349209.28582447325,81,0.0009375,112,1549.5009209681016,16.4106985850345,5.0024471858371395,1.958411912395
152,2021-05-18,152,1635501549,128.068393533748,350676.9474263527,99,0.001145833333,144,2738.200564169198,20.435499215269168,4.0333483215646275,1.9586070376320002
153,2021-05-19,92,1635501900,88.216255829699,351602.9115447965,104,0.001203703704,143,3985.692979574705,36.70076381602889,8.45064651,1.9683754703549998
154,2021-05-20,127,1635502215,206.337853002044,352446.89444061316,110,0.0012731481479999998,163,1708.1058531568726,16.084641118801446,5.56312555,1.971100763975
155,2021-05-21,128,1635502536,225.825271566863,353806.0959942483,111,0.001284722222,150,1566.7249884807156,12.107978311148662,4.957516679235055,1.968661782613
156,2021-05-22,147,1635502913,7.852546619578001,411229.24287558766,75,0.0008680555560000001,107,52368.901809550094,492.1393597599487,3.977268183367237,1.821814630435
157,2021-05-23,126,1635503289,264.28447700708597,412279.4696569605,111,0.001284722222,154,1559.9836748864645,13.108606423308148,4.439147166818891,1.822070298935
158,2021-05-24,193,1635503665,256.312043541814,416072.28966890316,150,0.001736111111,223,1623.303704029911,8.99471809068265,4.937615714988634,1.810281572119
159,2021-05-25,219,1635504029,132.160620132592,421911.85606262204,158,0.001828703704,206,3192.4173451920283,17.32086908707647,4.429938455693401,1.793682938307
160,2021-05-26,201,1635504435,155.879493946153,423153.4021197688,133,0.001539351852,193,2714.618782801172,19.132805413984094,3.3891528536690663,1.797146673817
161,2021-05-27,191,1635504831,23.595639576511,441627.7280462294,115,0.001331018519,166,18716.497453447228,130.37291041839384,3.4332273584300435,1.7709726599900002
162,2021-05-28,149,1635505230,63.319717996346995,442074.7120092235,130,0.0015046296300000003,172,6981.62793515169,42.65352260056154,3.4607297281366245,1.78577741885
163,2021-05-29,168,1635505671,60.18340564089001,443189.48368811875,103,0.00119212963,147,7363.981465798059,58.795021487059095,3.03265111,1.800787102771
164,2021-05-30,166,1635506102,331.026963360742,443665.2723426174,125,0.001446759259,167,1340.2692875478112,12.6595932013324,2.0357101523634817,1.803621126685
165,2021-05-31,184,1635506507,44.160625961487,450937.8717696503,125,0.001446759259,165,10211.310685743361,119.77518639735965,3.0055835184450364,1.818359058891
166,2021-06-01,215,1635506915,23.92176277145,453338.95703716925,141,0.0016319444440000002,188,18950.90095861239,151.72830587329497,2.1335170966104027,1.871650058885
167,2021-06-02,206,1635507331,71.92377415746701,454964.8132713991,131,0.001516203704,171,6325.652659374015,57.96943233624122,2.1124566807526874,1.8867495540819998
168,2021-06-03,172,1635507758,312.56784954123503,456666.4278570062,105,0.001215277778,136,1461.0153556332464,11.74058450047828,2.9871174432615404,1.8832156812810001
169,2021-06-04,196,1635508184,279.154291840452,458312.29762642237,140,0.00162037037,204,1641.7884697555246,9.199928742695036,2.0,1.880547757462
170,2021-06-05,170,1635508597,582.820321868833,459396.22592636704,116,0.001342592593,148,788.2295944199367,7.484152652272114,1.9333998895629971,1.878521784481
171,2021-06-06,209,1635514770,294.28531402582996,460440.9430462741,122,0.0014120370370000002,154,1564.6072743061175,12.33979210694124,2.4079897311758427,1.878386705521
172,2021-06-07,191,1635514977,299.22004529217,462461.0277184451,120,0.001388888889,154,1545.5549686414918,12.63335388308956,2.000912361154204,1.874388609285
173,2021-06-08,156,1635515195,247.799190430158,464269.3286291664,110,0.0012731481479999998,157,1873.570804744097,12.851515422312398,2.262290496343272,1.8714339219440002
174,2021-06-09,201,1635515398,67.21633391495,469056.24946578394,152,0.001759259259,195,6978.307535476208,39.80067567626797,1.90645399,1.8688814044589999
175,2021-06-10,184,1635515614,123.377271218222,472916.6598550961,134,0.001550925926,159,3833.093852583522,25.305437833651013,1.8987802433545455,1.862133736539
176,2021-06-11,180,1635515823,36.31686013467,486303.6635299092,130,0.0015046296300000003,173,13390.57566448752,79.17942907361818,2.89056,1.839040449799
177,2021-06-12,212,1635516051,51.189545808955,495137.56476803706,122,0.0014120370370000002,150,9672.630552651231,66.9004828468881,1.3058769534864971,1.826496805929
178,2021-06-13,199,1635516275,418.396281271122,496112.8190183087,127,0.001469907407,162,1185.748634072648,9.039653555715635,0.7185355596611288,1.82585809053
179,2021-06-14,203,1635516505,131.123877333871,498851.66648103396,121,0.001400462963,151,3804.43041057156,25.874348735436495,1.1,1.823665614864
180,2021-06-15,216,1635516748,209.115719049647,501309.75359173963,152,0.001759259259,203,2397.2839338429744,13.335857303133647,1.291,1.8201237928729999
181,2021-06-16,220,1635516985,16.897153480078,518948.8128161271,158,0.001828703704,229,30712.20329672538,187.1954523571254,2.8329929833244765,1.84086280787
182,2021-06-17,184,1635517252,41.747308363132,521485.88770474255,139,0.001608796296,204,12491.48527537842,102.98942374840983,1.5907761638183526,1.872195267725
183,2021-06-18,161,1635517526,184.66577461784698,523885.47448894015,121,0.001400462963,190,2836.938656191626,25.190763512793602,1.3842721100239337,1.872755981965
184,2021-06-19,162,1635517783,366.26883397808194,530958.880872623,98,0.001134259259,134,1449.6425347082516,11.62527369573414,1.684599716400674,1.850741137004
185,2021-06-20,184,1635518044,149.613454090334,532343.8741307049,180,0.002083333333,226,3558.1283606304787,16.478612012269817,1.0509605720013488,1.8529218746329998
186,2021-06-21,136,1635518288,323.090039343506,534519.6170400057,97,0.0011226851850000001,138,1654.398316104416,18.77172296019846,2.9314847081159208,1.850226026219
187,2021-06-22,154,1635518538,49.938702175162,536628.1919906477,121,0.001400462963,169,10745.73764669335,115.91019611470807,3.1739696540906595,1.8794594566010001
188,2021-06-23,212,1635518785,187.220271731418,537229.9341376729,179,0.002071759259,240,2869.507287695699,12.754250322336594,2.0,1.883052089822
189,2021-06-24,143,1635519032,73.026987257665,537897.5916885766,116,0.001342592593,168,7365.737132091795,51.06262964107314,1.0871141504851731,1.896663022361
