,time,AdrActCnt,AssetEODCompletionTime,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VtyDayRet180d,VtyDayRet30d
0,2015-03-31,312.0,1614335522.0,1455.0,,45.627179647279604,,6.0,,24319.286752,,0.0,0.0,0.0,,0.0,,38.07411519,,,,,,,,,,,8999999999.0,533.0,0.006168981481481479,433.0,236381067.666552,,548230.23941467,,16000.0,,,
1,2015-04-01,420.0,1614335522.0,1430.0,2327412.971511644,44.2777333546593,0.011450285663357568,6.0,0.0015516086478468301,31835.690282,8.232755391954083,0.0,0.0,0.0,0.0,0.0,0.0,23.8421487,,1.0461823495032168e-06,0.000258601441307805,,,,,,,,8999999999.0,719.0,0.00832175925925926,560.0,377482755.98968,97617.58476777372,674081.4571244289,174.31843637124274,10000.0,2.5860144130780496,,
2,2015-04-02,257.0,1614335522.0,1434.0,2826379.164672328,17.1095896764061,0.0053731319758733445,10.0,0.0031404212944293,23423.028266999998,7.3558176749706226,0.0,0.0,0.0,0.0,0.0,0.0,29.86816189,,1.2381896551724137e-06,0.00031404212944293,,,0.000258601441307805,1.04618234950321e-06,,0.000239905735203023,0.000258601441307805,8999999999.0,1369.0,0.0158449074074074,1276.0,301324200.402473,94628.4935470808,236175.321632032,74.16900092719224,1e-06,3.1404212944293e-10,,
3,2015-04-03,244.0,1614335522.0,1430.0,2823450.7707098783,11.3340061007569,0.0035556675848853556,10.0,0.00313716752335955,67380.66626900001,21.138443792143512,0.0,0.0,0.0,0.0,0.0,0.0,81.01241445,,1.231067212156633e-06,0.000313716752335955,,,0.00031404212944293,1.23818965517241e-06,,0.000288352893502266,0.00031404212944293,8999999999.0,5945.0,0.0688078703703704,5640.0,111094084.284684,34852.07532552793,19697.532674589398,6.179445979703543,1e-06,3.1371675233595503e-10,,
4,2015-04-04,211.0,1614335522.0,1432.0,2471490.0502883256,11.4474014616905,0.00314357097970752,10.0,0.00274610005618104,52142.913658,14.318965812567694,0.0,0.0,0.0,0.0,0.0,0.0,91.68327352,,1.081372296902399e-06,0.000274610005618104,,,0.000313716752335955,1.23106721215663e-06,,0.00028579683874195897,0.000313716752335955,8999999999.0,4555.0,0.0527199074074074,3452.0,98164034.21624699,26956.825987619348,28471.6307115432,7.818594669653457,1e-06,2.74610005618104e-10,,
5,2015-04-05,185.0,1614335522.0,1432.0,2101323.035754906,11.0323325014236,0.002575832713991644,10.0,0.00233480337332043,73618.754782,17.188531700466307,0.0,0.0,0.0,0.0,0.0,0.0,56.81016085,,8.941765049678543e-07,0.00023348033733204302,,,0.000274610005618104,1.0813722969024001e-06,,0.00025088935019896,0.000274610005618104,8999999999.0,6673.0,0.0772337962962963,5221.0,158422364.307354,36988.50705942082,30343.682112115297,7.0846531354329585,1e-06,2.33480337332043e-10,,
6,2015-04-06,203.0,1614335522.0,1432.0,2613713.0068788743,11.5336945896855,0.003349529729975447,10.0,0.00290412556352143,45846.435994,13.314380676652442,0.0,0.0,0.0,0.0,0.0,0.0,75.91661113,,1.1327983635300983e-06,0.000290412556352143,,,0.00023348033733204302,8.94176504967855e-07,,0.000210627008574531,0.00023348033733204302,8999999999.0,3975.0,0.0460069444444444,2474.0,118551129.52723601,34428.73658443862,47972.66836185769,13.93186525400067,1e-06,2.9041255635214297e-10,,
7,2015-04-07,150.0,1614335522.0,1399.0,2200191.3516536388,10.646743385996599,0.0026027636359720057,10.0,0.00244465705766456,82416.44055099999,20.147993306059377,0.0,0.0,0.0,0.0,0.0,0.0,136.28475296,,9.593214494447671e-07,0.000244465705766456,,,0.000290412556352143,1.1327983635301e-06,,0.000262936543668047,0.000290412556352143,8999999999.0,7741.0,0.0895949074074074,6402.0,66038201.660344996,16144.075576443784,10315.8453077702,2.5218704037416257,1e-06,2.44465705766456e-10,,
8,2015-04-08,176.0,1614335522.0,1440.0,2090923.1496877326,10.448488763337599,0.0024274430041046884,10.0,0.00232324794435562,97923.23668999999,22.74999583446912,0.0,0.0,0.0,0.0,0.0,0.0,214.07272269999999,,9.450812390414972e-07,0.00023232479443556202,,,0.000244465705766456,9.59321449444769e-07,,0.00022303863734852002,0.000244465705766456,8999999999.0,9372.0,0.10847222222222198,7954.0,42041787.881488,9767.349727270199,5425.180774640179,1.2604040082440429,1e-06,2.32324794435562e-10,,
9,2015-04-09,134.0,1614335522.0,1424.0,2005347.2504365137,9.55511028250892,0.0021290349038639955,10.0,0.0022281636118437,18737.571264,4.175037446477297,0.0,0.0,0.0,0.0,0.0,0.0,235.52274440000002,,9.137036820572741e-07,0.00022281636118437,,,0.00023232479443556202,9.450812390414959e-07,,0.000214447035725779,0.00023232479443556202,8999999999.0,1961.0,0.0226967592592593,753.0,38212869.93723,8514.452629825193,51080.8365700266,11.381646130786821,8.0,0.00178253088947496,,
