,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,BlkCnt,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyExpFut10yr,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
634,2016-05-08,39.0,105.0,3523.0,11453.0,31.0,1062.0,5262.0,12.0,420.0,11453.0,11453.0,11453.0,11453.0,5398.0,436.0,11453.0,1086.0,11453.0,3590.0,109.0,532.0,15.0,2527.0,38.0,2.0,3855.0,168.0,5.0,1614335674.0,22245.0,185442749.90300447,0.88030422,0.050730199999999996,185442749.90300447,10686700.325230693,210657572.86211506,1e-05,1.8207938330606002e-08,1e-05,1.8207938330606002e-08,0.00037999999999999997,6.91901656563028e-07,,,,,,,0.9966342476960001,4394.88117799,9661.79292137222,253.26834367,556.7900907916121,3.946417884278196e-06,0.0018207938330606,,-15.786071147376944,0.0018075188964778199,3.91779018118059e-06,0.00019250317616881698,0.00157920133429879,0.0018075188964778199,0.000137722916,101847197928.6589,101213212925.31378,174014547.0739165,101847197928.6589,101847197928.6589,509141136.8811698,101847197928.6589,101847197928.6589,101847197928.6589,334230798.9664194,100700382243.1748,101847197928.6589,100.0,101699349174.47171,101846449131.66255,101847197928.6589,101504405487.62456,101833190356.44527,101847013684.4009,100890180735.07172,101812260020.08167,101847197928.6589,101847197928.6589,101847197928.6589,101847197928.6589,101847197928.6589,101847027381.24738,101813867976.32072,101833432310.1908,101846516223.49203,101703361932.34175,101846735329.7685,101842678814.64484,101821062367.3833,101106199639.11229,101560655426.30173,92989997999.99907,101750067868.61058,99573499321.83582,101694194366.29622,101833974317.29086,101708361931.8356,101847197928.6589,112502451754.99321,5869253361.46776,38.0,0.000439814814814815,20.0,23174050.4018,42195.16805863296,1200498.08859,2185.8595163057093,159775.03744400002,290.91740285506154,2.398814501881537,0.05478565436362455,0.027364965350898947
635,2016-05-09,42.0,105.0,3527.0,11472.0,31.0,1061.0,5267.0,12.0,419.0,11472.0,11472.0,11472.0,11472.0,5404.0,435.0,11472.0,1086.0,11472.0,3595.0,109.0,530.0,15.0,2514.0,38.0,2.0,3855.0,168.0,5.0,1614335674.0,22306.0,183617062.30778557,0.87167039,0.05023363,183617062.30778557,10581697.428987239,210649649.983574,1e-05,1.80286808122502e-08,1e-05,1.80286808122502e-08,0.00033999999999999997,6.129751476165067e-07,,,,,,,0.996637101974,71251.54049514,9580.750046168925,4106.16656967,552.1305964550139,3.8900000000000085e-06,0.00180286808122502,,-10.343600214348786,0.0018207938330606,3.9464178842782005e-06,0.00019161094725051,0.00159166421498803,0.0018207938330606,0.000137959913,101847197928.65857,101182173488.19353,202858767.3314278,101847197928.65857,101847197928.65857,539317876.8917128,101847197928.65857,101847197928.65857,101847197928.65857,364970847.12311137,100697693012.78537,101847197928.65857,100.0,101699645939.1374,101846447461.08723,101847197928.65857,101504696187.78204,101833166210.9945,101847013114.82556,100890644443.04349,101812192584.74736,101847197928.65857,101847197928.65857,101847197928.65857,101847197928.65857,101847197928.65857,101847026912.6719,101813800540.9864,101833418165.74,101846515553.91669,101703658697.00743,101846731906.42368,101842592672.93874,101820963825.82909,101106663347.08408,101560952190.48741,92989997999.99907,101750364633.27625,99573499321.83582,101694491130.9619,101833976892.8397,101708658696.50128,101847197928.65857,112502451754.99321,5869368668.281679,34.0,0.000393518518518519,11.0,1429403.4517837,2577.025858413701,129945.768343973,234.27507803760963,6000.0,10.817208487350118,2.3988285366658184,0.054674232273785386,0.024312611183823874
636,2016-05-10,63.0,108.0,3530.0,11511.0,31.0,1062.0,5277.0,11.0,423.0,11511.0,11511.0,11511.0,11511.0,5414.0,439.0,11511.0,1087.0,11511.0,3598.0,112.0,529.0,15.0,2506.0,39.0,2.0,3857.0,170.0,5.0,1614335674.0,22464.0,179787222.1295578,0.85352395,0.04929643,179787222.1295578,10383853.744603537,210641097.31386966,1e-05,1.7652642957884398e-08,1e-05,1.7652642957884398e-08,0.0008,1.4122114366307518e-06,,,,,,,0.996520791935,27401.37987693,9473.857321408646,1582.60368936,547.1754202412558,3.913420222092343e-06,0.0017652642957884399,,-5.108568498392441,0.00180286808122502,3.89e-06,0.00019270535150359098,0.00157879647618177,0.00180286808122502,0.00013807153399999998,101847197928.6577,101181809981.96512,149096173.20055267,101847197928.6577,101847197928.6577,550484935.2551467,101847197928.6577,101847197928.6577,101847197928.6577,377196953.5920154,100709873943.97583,101847197928.6577,100.0,101698955370.11208,101846443106.59273,101847197928.6577,101492850336.18295,101833155229.60013,101847012095.33096,100791582681.41203,101812362067.62196,101847197928.6577,101847197928.6577,101847197928.6577,101847197928.6577,101847197928.6577,101847025893.17728,101813970023.861,101833407184.34566,101846511199.42221,101702968127.9821,101846727798.73816,101842531439.5832,101820803761.00404,101107771247.3524,101556161421.46208,92989997999.99907,101749420089.82185,99573499321.83582,101690617574.30841,101833990788.5452,101705968127.98207,101847197928.6577,112502451754.99321,5882322420.148241,80.0,0.000925925925925926,32.0,3716863.8362769997,6561.247022487038,116151.99488365599,205.03896945271953,29970.0,52.90497094477954,2.3988650311783233,0.05375733738889893,0.020201523487066445
637,2016-05-11,63.0,108.0,3546.0,11555.0,31.0,1064.0,5306.0,11.0,425.0,11555.0,11555.0,11555.0,11555.0,5443.0,441.0,11555.0,1089.0,11555.0,3615.0,112.0,532.0,15.0,2517.0,39.0,2.0,3885.0,172.0,5.0,1614335674.0,22884.0,182138583.35318413,0.86467935,0.04994982,182138583.35318413,10521576.006660668,210642919.12723804,1e-05,1.78835144272472e-08,1e-05,1.78835144272472e-08,0.00055,9.83593293498596e-07,,,,,,,0.996510255046,12239.45118631,9610.16372666795,707.03479497,555.1490860699204,3.939999999999994e-06,0.0017883514427247198,,-5.941243123978773,0.0017652642957884399,3.91342022209234e-06,0.00018795266224868102,0.00155749631784292,0.0017652642957884399,0.000138780707,101847197928.65715,101175059891.43687,119922424.96224108,101847197928.65715,101847197928.65715,559553663.8116387,101847197928.65715,101847197928.65715,101847197928.65715,373139030.1998814,100718956463.32175,101847197928.65715,100.0,101697036658.18835,101846432450.1593,101847197928.65715,101491777183.65096,101833083368.79103,101847011465.41016,100792321347.85484,101812290366.81293,101847197928.65715,101847197928.65715,101847197928.65715,101847197928.65715,101847197928.65715,101847025263.25647,101813898323.05199,101833335323.53658,101846501548.98877,101701049416.05836,101846727419.0044,101842513186.50948,101820788076.88748,101107769595.62936,101554240058.81537,92989997999.99907,101749348589.0128,99573499321.83582,101688698862.38467,101833935356.73604,101704049416.05833,101847197928.65715,112502451754.99321,5883393920.956649,55.0,0.000636574074074074,6.0,8321222.608623,14881.2704573645,1386870.4347705,2480.2117428940833,369333.22140100005,660.4975993386466,2.3989467341881183,0.0536422398105929,0.019909116149174424
638,2016-05-12,43.0,109.0,3551.0,11580.0,31.0,1064.0,5314.0,11.0,425.0,11580.0,11580.0,11580.0,11580.0,5451.0,441.0,11580.0,1090.0,11580.0,3620.0,113.0,532.0,15.0,2521.0,39.0,2.0,3891.0,172.0,5.0,1614335674.0,22181.0,182361126.92455092,0.86574288,0.05001149,182361126.92455092,10534481.794604689,210641209.56915256,1e-05,1.7905365158135603e-08,1e-05,1.7905365158135603e-08,0.00045999999999999996,8.236467972742377e-07,,,,,,,0.996508001948,19299.72692162,9742.041944943525,1114.89013764,562.7699567449108,3.9300000000000056e-06,0.0017905365158135602,,-4.494972713830438,0.0017883514427247198,3.94e-06,0.000180060581710476,0.0015653052891196199,0.0017883514427247198,0.000139055674,101847197928.65668,101175187207.75536,109006026.6185661,101847197928.65668,101847197928.65668,563360567.7193298,101847197928.65668,101847197928.65668,101847197928.65668,349638064.4736844,100714788452.41562,101847197928.65668,100.0,101697869168.13417,101846430577.00467,101847197928.65668,101491547711.92451,101833055426.83684,101847010997.99104,100793789075.58148,101812262624.85875,101847197928.65668,101847197928.65668,101847197928.65668,101847197928.65668,101847197928.65668,101847024795.83737,101813870581.09782,101833317381.58238,101846499675.8341,101701881926.00417,101846726476.74976,101842513167.45522,101820760334.93336,101107568127.9211,101554010587.08893,92989997999.99907,101749320847.05869,99573499321.83582,101688459644.68898,101833933635.78181,101703881926.00417,101847197928.65668,112502451754.99321,5883421924.974353,46.0,0.000532407407407407,15.0,5277131.554361,9448.896746835346,351808.770290733,629.9264497890221,20782.407195,37.21165896915396,2.3989985483927576,0.053630838132514486,0.019786606076848956
639,2016-05-13,294.0,108.0,3550.0,11835.0,31.0,1067.0,5308.0,11.0,426.0,11835.0,11835.0,11835.0,11835.0,5445.0,441.0,11835.0,1093.0,11835.0,3619.0,112.0,531.0,15.0,2518.0,39.0,2.0,3888.0,172.0,5.0,1614335674.0,22113.0,180222751.13857648,0.85561423,0.04942657,180222751.13857648,10410990.930578005,210635522.85372576,1e-05,1.7695405941833703e-08,1e-05,1.7695405941833703e-08,0.00548,9.697082456124867e-06,,,,,,,0.9965014631910001,14629.2534766,9605.238325220424,845.09322105,554.8691741644661,3.870031560490945e-06,0.0017695405941833698,,-3.9465114230994622,0.0017905365158135602,3.93e-06,0.000177516182791326,0.00157557964788446,0.0017905365158135602,0.000138775265,101847197928.65108,101174652370.04616,168381026.9205898,101847197928.65108,101847197928.65108,563453960.0384378,101847197928.65108,101847197928.65108,101847197928.65108,351500199.5614565,100714734730.34984,101847197928.65108,100.0,101696292386.38383,101846428079.1869,101847197928.65108,101490881757.80627,101833083609.2189,101847005511.17104,100795168723.32892,101812334454.55133,101847197928.65108,101847197928.65108,101847197928.65108,101847197928.65108,101847197928.65108,101847019309.01741,101813842309.19652,101833345563.96443,101846497178.01639,101700305144.25389,101846722177.93207,101842501966.25992,101820676046.33952,101106923084.11,101553342882.99866,92989997999.99907,101748744064.30832,99573499321.83582,101687954590.58018,101834135977.67812,101706305143.1104,101847197928.65108,112502451754.99321,5883442835.275898,548.0,0.00634259259259259,290.0,6961886.202297,12319.340247049637,24006.5041458517,42.480483610515954,55.0,0.09732473268008536,2.3990669045808253,0.05356528534309777,0.019654226005253454
640,2016-05-14,74.0,108.0,3552.0,11885.0,31.0,1067.0,5313.0,11.0,426.0,11885.0,11885.0,11885.0,11885.0,5450.0,441.0,11885.0,1093.0,11885.0,3621.0,112.0,532.0,15.0,2525.0,39.0,2.0,3891.0,173.0,5.0,1614335674.0,22482.0,182733460.30756226,0.86752383,0.05011873,182733460.30756226,10556908.544333553,210637970.9138374,1e-05,1.79419231970994e-08,1e-05,1.79419231970994e-08,0.0009699999999999999,1.740366550118642e-06,,,,,,,0.996497155624,1940213.44214974,9786.495006937337,112090.34093037,565.3870538210282,3.916428404441848e-06,0.0017941923197099397,,-4.1307670005283,0.0017695405941833698,3.87003156049094e-06,0.000166906503795276,0.0015632047021314401,0.0017695405941833698,0.000138925615,101847197928.65012,101174202741.84366,168468875.4346668,101847197928.65012,101847197928.65012,563929346.1972897,101847197928.65012,101847197928.65012,101847197928.65012,224301075.0738348,100710394949.78787,101847197928.65012,100.0,101696356466.65027,101846425862.68857,101847197928.65012,101490443044.21754,101833068308.72061,101847004462.17192,100795168889.68372,101812319194.05302,101847197928.65012,101847197928.65012,101847197928.65012,101847197928.65012,101847197928.65012,101847018260.01825,101813827048.69821,101833330263.46611,101846494961.518,101700369224.5203,101846720540.43367,101842527730.5712,101820716802.53375,101106975173.99933,101552853903.07507,92989997999.99907,101749366421.83296,99573499321.83582,101688018670.84659,101834159446.26607,101706369223.3768,101847197928.65012,112502451754.99321,5883933638.752977,97.0,0.00112268518518519,41.0,52492.780287,94.18214323115673,1327.26293382927,2.381364962112159,55.0,0.0986805775840467,2.3990674388889226,0.05356354222352597,0.01959968005916319
641,2016-05-15,43.0,108.0,3557.0,11903.0,31.0,1072.0,5320.0,11.0,428.0,11903.0,11903.0,11903.0,11903.0,5458.0,444.0,11903.0,1098.0,11903.0,3626.0,112.0,534.0,15.0,2524.0,39.0,2.0,3895.0,173.0,5.0,1614335675.0,22810.0,180928212.55360484,0.85896047,0.04962517,180928212.55360484,10452860.334923834,210636250.5948622,1.05405405405405e-05,1.8724925163722522e-08,1e-05,1.7764672591224e-08,0.00039,6.92822231057736e-07,,,,,,,0.9964899335969999,90555.26001467,10561.784299641327,5231.69644008,610.1914931538546,3.854697837521906e-06,0.0017764672591224,,-4.832872047761826,0.0017941923197099397,3.91642840444185e-06,0.000175356266989048,0.00158259229848088,0.0017941923197099397,0.000138911753,101847197928.64967,101156915318.65704,168143696.92943168,101847197928.64967,101847197928.64967,562957349.3124268,101847197928.64967,101847197928.64967,101847197928.64967,226866221.57784283,100709807841.63138,101847197928.64967,100.0,101695083123.89418,101846425659.59352,101847197928.64967,101489707500.91232,101833069756.6256,101847004096.11732,100795169096.32896,101812166195.39241,101847197928.64967,101847197928.64967,101847197928.64967,101847197928.64967,101847197928.64967,101847017993.96367,101813775054.7316,101833331711.3711,101846494758.42296,101699095881.76419,101846719337.33864,101842495185.66658,101820611586.76732,101106377472.1487,101552117746.72928,92989997999.99907,101748102085.91417,99573499321.83582,101686745328.09053,101834137674.08424,101706095879.62073,101847197928.64967,112502451754.99321,5884071480.207125,37.0,0.000428240740740741,18.0,1124696.653868,1997.9867820410204,62483.1474371111,110.99926566894553,155.41964175,0.2760979049934078,2.3990784818697595,0.05356835197019424,0.01966068073284323
642,2016-05-16,64.0,108.0,3561.0,11947.0,31.0,1071.0,5329.0,11.0,427.0,11947.0,11947.0,11947.0,11947.0,5467.0,443.0,11947.0,1097.0,11947.0,3631.0,112.0,530.0,15.0,2512.0,39.0,2.0,3895.0,169.0,5.0,1614335675.0,22218.0,173782371.73099297,0.82507358,0.04771993,173782371.73099297,10051082.037625678,210626514.16131556,1e-05,1.7063048887485303e-08,1e-05,1.7063048887485303e-08,0.00059,1.0067198843616326e-06,,,,,,,0.9964958695209999,12918.95642258,10211.580692716285,747.19598743,590.6090143320392,3.7482746931618826e-06,0.0017063048887485301,,-10.938950008235556,0.0017764672591224,3.85469783752192e-06,0.000177990101701339,0.0015655549116771,0.0017764672591224,0.000139234596,101847197928.64903,101162849722.38393,170111321.9254128,101847197928.64903,101847197928.64903,569420332.8221768,101847197928.64903,101847197928.64903,101847197928.64903,224250925.51433682,100716207401.9379,101847197928.64903,100.0,101695674814.09007,101846422234.54778,101847197928.64903,101490312058.2279,101833036839.0801,101847003217.07124,100799621296.32896,101812133317.84697,101847197928.64903,101847197928.64903,101847197928.64903,101847197928.64903,101847197928.64903,101847017114.91762,101813742177.18611,101833298793.82564,101846492334.37717,101699687571.9601,101846714450.06935,101842400825.11943,101820406043.1768,101113465106.0097,101552685913.70018,92989997999.99907,101746350398.93034,99573499321.83582,101687337018.2864,101834143194.42543,101706687569.81662,101847197928.64903,112502451754.99321,5890554556.751889,59.0,0.00068287037037037,12.0,7883546.8281817,13451.7344936044,656962.235681808,1120.977874467033,23805.73979935,40.61985019990635,2.3991558875028063,0.053650764367093116,0.020164107050331708
643,2016-05-17,59.0,108.0,3564.0,11978.0,31.0,1074.0,5334.0,11.0,428.0,11978.0,11978.0,11978.0,11978.0,5471.0,444.0,11978.0,1100.0,11978.0,3634.0,112.0,530.0,15.0,2502.0,38.0,2.0,3895.0,166.0,5.0,1614335675.0,22385.0,171456777.46485856,0.8141364999999999,0.04708895,171456777.46485856,9916911.462033745,210599546.44846666,1e-05,1.683470738046e-08,1e-05,1.683470738046e-08,0.0006,1.0100824428275998e-06,,,,,,,0.9964908773919999,49714.80953688,11012.126435729546,2875.46151175,636.9318523686464,3.711798947983642e-06,0.0016834707380459998,,-10.751475530589087,0.0017063048887485301,3.7482746931618898e-06,0.000153525078684565,0.00150588222862787,0.0017063048887485301,0.00013924866,101847197928.64828,101160641427.2529,297977489.9347753,101847197928.64828,101847197928.64828,569752484.8939627,101847197928.64828,101847197928.64828,101847197928.64828,324246595.9824213,100716353886.7001,101847197928.64828,100.0,101695555004.41104,101846420906.17218,101847197928.64828,101489803623.80144,101833035425.41383,101847002525.59503,100801015056.32892,101812042967.18083,101847197928.64828,101847197928.64828,101847197928.64828,101847197928.64828,101847197928.64828,101847016323.4414,101813651826.52,101833297380.15936,101846491006.0016,101699567762.28108,101846711344.82326,101842322660.89615,101820292957.51068,101113155804.76212,101546291616.77382,92989997999.99907,101744391199.71901,99573499321.83582,101687217208.60739,101834141780.75916,101706567760.1376,101847197928.64828,112502451754.99321,5890753689.930057,60.0,0.000694444444444444,25.0,2048628.9473380002,3448.806885957503,81945.15789352,137.95227543830015,471.0,0.7929147176196658,2.39917600223341,0.05359723736762565,0.02012560230198934
644,2016-05-18,43.0,108.0,3564.0,11997.0,31.0,1073.0,5338.0,11.0,427.0,11997.0,11997.0,11997.0,11997.0,5475.0,443.0,11997.0,1099.0,11997.0,3634.0,112.0,530.0,15.0,2517.0,39.0,2.0,3899.0,168.0,5.0,1614335675.0,22627.0,174040744.47538853,0.82639043,0.04779776,174040744.47538853,10066377.185196266,210603532.3717208,1e-05,1.70884175524709e-08,1e-05,1.70884175524709e-08,0.00031,5.297409441265979e-07,,,,,,,0.996491809586,800842.28778714,11222.427924691065,46320.07613517,649.0962375743849,3.7599421390999358e-06,0.0017088417552470901,,-10.22068314243058,0.0016834707380459998,3.71179894798364e-06,0.00013814646497633,0.00149117168120052,0.0016834707380459998,0.00013931506299999998,101847197928.64796,101160094381.6673,290885378.6140115,101847197928.64796,101847197928.64796,569334369.9268599,101847197928.64796,101847197928.64796,101847197928.64796,313080813.09501034,100716405347.9964,101847197928.64796,100.0,101695651005.91144,101846419021.18228,101847197928.64796,101489898565.20184,101833028658.424,101847002094.30504,100801015056.32892,101812036320.19104,101847197928.64796,101847197928.64796,101847197928.64796,101847197928.64796,101847197928.64796,101847015892.15138,101813645179.53021,101833290613.16953,101846489121.01172,101699663763.78143,101846712187.70386,101842410204.72304,101820345111.52084,101113257364.66211,101552276578.17416,92989997999.99907,101745664531.92819,99573499321.83582,101687313210.10776,101834157793.385,101706663761.63795,101847197928.64796,112502451754.99321,5890760308.429333,31.0,0.000358796296296296,7.0,127175.09986900001,217.32212088386592,18167.8714098571,31.04601726912364,1060.099989,1.8115431259401804,2.3991772509187275,0.05354958097682847,0.02028434450895513
645,2016-05-19,67.0,107.0,3568.0,12030.0,31.0,1073.0,5342.0,11.0,425.0,12030.0,12030.0,12030.0,12030.0,5480.0,442.0,12030.0,1099.0,12030.0,3639.0,111.0,523.0,13.0,1598.0,38.0,2.0,3890.0,159.0,5.0,1614335675.0,22538.0,166042766.098605,0.78844691,0.04560429,166042766.098605,9604022.22661342,210594732.6464128,1e-05,1.63031256112645e-08,1e-05,1.63031256112645e-08,0.00084,1.369462551346218e-06,,,,,,,0.9965247605740001,13332.0398759,10768.560142641189,771.13390907,622.8605641099242,3.7245201636469918e-06,0.00163031256112645,,-14.935081637181375,0.0017088417552470901,3.7599421390999396e-06,0.00012784082084168702,0.00151835171970678,0.0017088417552470901,0.000139544983,101847197928.64702,101159970245.4728,165109766.6656897,101847197928.64702,101847197928.64702,569471680.2245059,101847197928.64702,101847197928.64702,101847197928.64702,308208150.3415765,100716365578.76472,101847197928.64702,100.0,101696050530.6645,101846416448.95744,101847197928.64702,101493254530.97342,101833004939.17693,101847001242.13025,100804847520.0824,101811882784.94412,101847197928.64702,101847197928.64702,101847197928.64702,101847197928.64702,101847197928.64702,101847015140.87656,101813592195.28322,101833266893.92244,101846487548.78685,101700063288.53453,101846702512.72896,101836868589.45006,101819930347.76775,100996996726.96326,101549738888.94553,92989997999.99907,101741273976.84634,99573499321.83582,101688776316.76714,101834164108.61348,101709063267.391,101847197928.64702,112502451754.99321,5890908562.943049,84.0,0.0009722222222222221,46.0,7639280.925998599,12454.41565162922,166071.32447823,270.7481663397648,156.00454265,0.254336165475082,2.399252258195153,0.05359508029747348,0.02166602809360496
646,2016-05-20,66.0,107.0,3571.0,12054.0,31.0,1073.0,5349.0,11.0,425.0,12054.0,12054.0,12054.0,12054.0,5487.0,442.0,12054.0,1099.0,12054.0,3642.0,111.0,523.0,13.0,1600.0,38.0,2.0,3893.0,159.0,5.0,1614335675.0,22450.0,166001559.67614305,0.78825114,0.04559311,166001559.67614305,9601670.761167418,210594759.93328443,1e-05,1.62990797049167e-08,1e-05,1.62990797049167e-08,0.0007599999999999999,1.2387300575736693e-06,,,,,,,0.9965196935539999,16296.33779285,10715.484985120323,942.59397565,619.7927240809211,3.6842670952659135e-06,0.00162990797049167,,-14.252210129794124,0.00163031256112645,3.72452016364699e-06,0.00011246988966854899,0.00145932279420458,0.00163031256112645,0.000139762179,101847197928.64615,101159343743.1808,100844495.4886667,101847197928.64615,101847197928.64615,569470617.097777,101847197928.64615,101847197928.64615,101847197928.64615,309830605.70599246,100715948771.20856,101847197928.64615,100.0,101696028522.8724,101846415540.11513,101847197928.64615,101492738469.22618,101832982851.38477,101847000753.20772,100810406379.51572,101811860777.152,101847197928.64615,101847197928.64615,101847197928.64615,101847197928.64615,101847197928.64615,101847014651.95406,101813570187.49107,101833244806.13028,101846486639.94452,101700041280.74243,101846701603.90663,101836860623.6278,101819908339.97566,100996495312.02202,101549215406.2124,92989997999.99907,101741251969.05424,99573499321.83582,101688754308.97504,101834156944.82114,101709041259.5989,101847197928.64615,112502451754.99321,5890928159.748199,76.0,0.00087962962962963,38.0,6249698.504245,10186.433405238793,169176.829059079,275.74266210589957,38580.334449,62.882394622659454,2.3993153794163264,0.0535914785944675,0.02167890995070617
647,2016-05-21,79.0,106.0,3596.0,12098.0,31.0,1075.0,5371.0,11.0,426.0,12098.0,12098.0,12098.0,12098.0,5509.0,443.0,12098.0,1101.0,12098.0,3666.0,110.0,524.0,13.0,1618.0,38.0,2.0,3911.0,158.0,5.0,1614335676.0,22153.0,165469499.59705654,0.78574834,0.04544983,165469499.59705654,9571207.435829211,210588417.06154934,1e-05,1.62468386919182e-08,1e-05,1.62468386919182e-08,0.00085,1.3809812888130471e-06,,,,,,,0.996534707662,8233.16590858,10544.418229486864,476.2287851,609.917926931067,3.6585534774985383e-06,0.00162468386919182,,-12.25689988154022,0.00162990797049167,3.68426709526593e-06,0.000119360661913045,0.0014579624901857,0.00162990797049167,0.00014121227199999999,101847197928.64528,101159164203.65048,160218855.34590858,101847197928.64528,101847197928.64528,566155915.251548,101847197928.64528,101847197928.64528,101847197928.64528,308375479.92594737,100715741527.66435,101847197928.64528,100.0,101694958311.18248,101846419756.60876,101847197928.64528,101494267614.01443,101832835374.52284,101847000242.99944,100815297593.40692,101811674303.68083,101847197928.64528,101847197928.64528,101847197928.64528,101847197928.64528,101847197928.64528,101847014141.74574,101813383714.01993,101833097329.26839,101846489853.93633,101698971069.0525,101846699698.41043,101836827715.71976,101819721866.50446,101000053636.85384,101550744551.00069,92989997999.99907,101740181757.3643,99573499321.83582,101688746147.09996,101834024312.89032,101708965710.77411,101847197928.64528,112502451754.99321,5891119877.118185,85.0,0.0009837962962962962,36.0,12370356.562659,20097.918763503243,347084.904518306,563.9032456108748,156564.456314,254.3677466621432,2.399438063759332,0.053591176519394865,0.02131100538506887
648,2016-05-22,102.0,107.0,3569.0,12132.0,31.0,1076.0,5343.0,11.0,426.0,12132.0,12132.0,12132.0,12132.0,5482.0,443.0,12132.0,1102.0,12132.0,3639.0,111.0,524.0,13.0,1607.0,38.0,2.0,3882.0,160.0,5.0,1614335676.0,22668.0,166092581.74022394,0.78870442,0.04562212,166092581.74022394,9607521.877224896,210589135.1629821,1e-05,1.63080168250276e-08,1e-05,1.63080168250276e-08,0.00126,2.0548101199534776e-06,,,,,,,0.996510896796,27304.3393092,10547.860630657988,1579.40249051,610.1344244589085,3.7016674459380403e-06,0.00163080168250276,,-14.775399845353403,0.00162468386919182,3.6585534774985396e-06,0.000115991049750828,0.00144969203437281,0.00162468386919182,0.000139548501,101847197928.64384,101085065318.97665,160740745.43464732,101847197928.64384,101847197928.64384,566143413.7326415,101847197928.64384,101847197928.64384,101847197928.64384,308266537.89253485,100716146818.58148,101847197928.64384,100.0,101694990744.26424,101846421136.44615,101847197928.64384,101491842544.05058,101833004590.37677,101846998832.73364,100815297703.95844,101811836155.17522,101847197928.64384,101847197928.64384,101847197928.64384,101847197928.64384,101847197928.64384,101847012832.37987,101813545565.51428,101833266545.12228,101846491233.77368,101699003502.13425,101846698959.83597,101836907897.71452,101819883717.99886,100997822109.42029,101548276984.08246,92989997999.99907,101740934781.02141,99573499321.83582,101687716530.36688,101834215522.69215,101708998143.85588,101847197928.64384,112502451754.99321,5891287690.162554,126.0,0.0014583333333333301,86.0,3730073.6991036003,6083.010464357445,43372.9499895767,70.73267981810976,6880.0,11.21991557561899,2.3994746879746107,0.053586512984874116,0.020189956749988847
